Id,Label,timeset,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class
DAENERYS,DAENERYS,,34,733,3,0.588235,0.691667,363.879378,3
TYRION,TYRION,,34,693,3,0.601504,0.697917,262.607781,3
JON,JON,,43,968,3,0.661157,0.760417,750.065177,3
CERSEI,CERSEI,,31,588,4,0.57554,0.673958,354.099311,2
JAIME,JAIME,,22,521,4,0.529801,0.6125,117.280506,2
ARYA,ARYA,,18,317,3,0.512821,0.583333,122.863513,0
SANSA,SANSA,,24,542,3,0.536913,0.622917,287.840194,0
LITTLEFINGER,LITTLEFINGER,,17,243,3,0.519481,0.583333,78.465098,0
DAVOS,DAVOS,,27,361,3,0.559441,0.647917,79.011401,3
BRONN,BRONN,,16,169,4,0.503145,0.569792,16.573322,2
MARWYN,MARWYN,,5,97,4,0.394089,0.438542,81.864907,1
SAM,SAM,,11,164,4,0.462428,0.519792,329.962034,1
VARYS,VARYS,,19,231,4,0.512821,0.588542,31.85988,3
BERIC,BERIC,,10,207,3,0.45977,0.5125,3.760874,1
HOUND,HOUND,,23,327,4,0.522876,0.611458,58.991151,1
JORAH,JORAH,,22,307,4,0.519481,0.605208,156.688567,1
THOROS,THOROS,,7,145,4,0.421053,0.469792,0.921703,1
TORMUND,TORMUND,,17,226,3,0.490798,0.564583,29.3733,1
GENDRY,GENDRY,,11,170,4,0.462428,0.519792,7.130294,1
BRAN,BRAN,,17,174,3,0.516129,0.58125,215.380796,0
QYBURN,QYBURN,,15,123,4,0.490798,0.558333,32.333477,2
EURON,EURON,,16,160,4,0.493827,0.564583,48.565124,2
TYCHO,TYCHO,,2,40,5,0.37037,0.4025,0,2
OLENNA,OLENNA,,16,90,4,0.465116,0.54375,92.44374,2
MISSANDEI,MISSANDEI,,13,212,4,0.481928,0.542708,9.614946,3
THEON,THEON,,24,196,4,0.529801,0.619792,152.81465,2
HOT_PIE,HOT_PIE,,3,37,4,0.414508,0.447917,0,0
MOUNTAIN,MOUNTAIN,,16,127,4,0.493827,0.564583,50.016427,2
RANDYLL,RANDYLL,,9,101,4,0.43956,0.49375,2.20873,2
GREY_WORM,GREY_WORM,,14,98,4,0.487805,0.551042,10.520422,3
BRIENNE,BRIENNE,,24,180,3,0.547945,0.629167,87.402984,0
PODRICK,PODRICK,,18,94,3,0.509554,0.58125,35.582399,0
DICKON,DICKON,,7,78,4,0.432432,0.479167,30.702754,2
ELLARIA,ELLARIA,,17,122,4,0.454545,0.54375,38.333934,2
YARA,YARA,,14,101,4,0.444444,0.522917,37.589715,2
HARRAG,HARRAG,,2,27,5,0.349345,0.380625,0,2
YOHN_ROYCE,YOHN_ROYCE,,12,76,4,0.457143,0.520833,3.335725,0
MEERA,MEERA,,5,32,4,0.377358,0.41875,82.444667,0
TYENE,TYENE,,10,73,4,0.40404,0.470833,7.367157,2
NED,NED,,15,84,3,0.516129,0.572917,83.32379,0
MELISANDRE,MELISANDRE,,8,50,4,0.446927,0.495833,3.100821,3
GILLY,GILLY,,2,26,5,0.318725,0.344167,0,1
NIGHT_KING,NIGHT_KING,,10,59,3,0.481928,0.529167,5.214705,1
MAESTER_WOLKAN,MAESTER_WOLKAN,,7,51,4,0.444444,0.489583,23.102017,0
TYWIN,TYWIN,,7,41,4,0.42328,0.475,86.95508,2
AERYS,AERYS,,8,34,4,0.47619,0.517708,6.094984,3
LYANNA_MORMONT,LYANNA_MORMONT,,10,48,4,0.441989,0.501042,0.45,0
ROBETT,ROBETT,,10,54,4,0.441989,0.501042,0.45,0
NYMERIA,NYMERIA,,6,25,5,0.357143,0.407708,0,2
OBARA,OBARA,,6,30,5,0.357143,0.407708,0,2
BENJEN,BENJEN,,1,7,4,0.4,0.425,0,3
LYANNA,LYANNA,,4,22,4,0.418848,0.455208,6.669985,0
JOFFREY,JOFFREY,,11,45,3,0.479042,0.53125,48.215365,0
RHAEGAR,RHAEGAR,,3,13,4,0.358744,0.391667,1.095238,0
ROBERT,ROBERT,,12,32,3,0.484848,0.539583,105.130693,0
LITTLE_SAM,LITTLE_SAM,,2,12,5,0.318725,0.344167,0,1
ALYS,ALYS,,2,8,4,0.40201,0.43125,0,3
NED_UMBER,NED_UMBER,,2,9,4,0.40201,0.43125,0,3
CATELYN,CATELYN,,4,14,4,0.416667,0.455208,0.388889,0
ROBB,ROBB,,7,20,3,0.473373,0.510417,2.367773,0
EDDISON_TOLLETT,EDDISON_TOLLETT,,2,8,4,0.344828,0.370833,0,0
MYRCELLA,MYRCELLA,,3,8,5,0.37037,0.406667,0,2
JEOR,JEOR,,4,14,4,0.446927,0.478125,2.903097,1
LYSA,LYSA,,2,6,4,0.352423,0.382292,0,0
OBERYN,OBERYN,,4,11,5,0.379147,0.42125,0.64152,2
AEGON,AEGON,,1,3,4,0.372093,0.4,0,3
