Source,Target,Type,Id,Label,timeset,Weight,season
JON,SANSA,Undirected,0,,,151,6
MISSANDEI,TYRION,Undirected,1,,,88,6
TYRION,VARYS,Undirected,2,,,86,6
ARYA,JAQEN,Undirected,3,,,83,6
DAVOS,MELISANDRE,Undirected,4,,,82,6
GREY_WORM,TYRION,Undirected,5,,,81,6
DAVOS,JON,Undirected,6,,,80,6
GILLY,SAM,Undirected,7,,,80,6
BRAN,THREE_EYED_RAVEN,Undirected,8,,,76,6
HIGH_SPARROW,MARGAERY,Undirected,9,,,76,6
THEON,YARA,Undirected,10,,,72,6
DAENERYS,TYRION,Undirected,11,,,69,6
CERSEI,JAIME,Undirected,12,,,66,6
ARYA,LADY_CRANE,Undirected,13,,,64,6
DAARIO,JORAH,Undirected,14,,,60,6
LITTLEFINGER,SANSA,Undirected,15,,,57,6
DAARIO,DAENERYS,Undirected,16,,,54,6
JON,MELISANDRE,Undirected,17,,,54,6
JON,TORMUND,Undirected,18,,,54,6
BRAN,MEERA,Undirected,19,,,51,6
BRIENNE,JAIME,Undirected,20,,,50,6
DAVOS,TORMUND,Undirected,21,,,50,6
HIGH_SPARROW,TOMMEN,Undirected,22,,,49,6
ARYA,WAIF,Undirected,23,,,48,6
CERSEI,TOMMEN,Undirected,24,,,48,6
EDDISON_TOLLETT,JON,Undirected,25,,,48,6
BRIENNE,SANSA,Undirected,26,,,46,6
GREY_WORM,MISSANDEI,Undirected,27,,,44,6
HOUND,RAY,Undirected,28,,,41,6
MARGAERY,OLENNA,Undirected,29,,,40,6
HODOR,MEERA,Undirected,30,,,39,6
BRAN,HODOR,Undirected,31,,,38,6
DAVOS,SANSA,Undirected,32,,,38,6
RAMSAY,SANSA,Undirected,33,,,37,6
BRONN,JAIME,Undirected,34,,,36,6
JAIME,TOMMEN,Undirected,35,,,36,6
MARGAERY,TOMMEN,Undirected,36,,,36,6
BRYNDEN,JAIME,Undirected,37,,,35,6
DAENERYS,KHAL_MORO,Undirected,38,,,34,6
RAMSAY,SMALLJON,Undirected,39,,,34,6
HIGH_SPARROW,JAIME,Undirected,40,,,33,6
LORAS,MARGAERY,Undirected,41,,,33,6
BRIENNE,BRYNDEN,Undirected,42,,,32,6
EDMURE,JAIME,Undirected,43,,,31,6
JON,RAMSAY,Undirected,44,,,30,6
BENJEN,BRAN,Undirected,45,,,29,6
