Source,Target,Type,Id,Label,timeset,Weight,season
CERSEI,TYRION,Undirected,0,,,177,2
DAENERYS,JORAH,Undirected,1,,,119,2
ARYA,JAQEN,Undirected,2,,,113,2
DAVOS,STANNIS,Undirected,3,,,111,2
JON,YGRITTE,Undirected,4,,,110,2
ROBB,TALISA,Undirected,5,,,108,2
ARYA,TYWIN,Undirected,6,,,103,2
TYRION,VARYS,Undirected,7,,,103,2
SHAE,TYRION,Undirected,8,,,95,2
BRONN,TYRION,Undirected,9,,,87,2
THEON,YARA,Undirected,10,,,87,2
CATELYN,ROBB,Undirected,11,,,82,2
DAENERYS,XARO,Undirected,12,,,80,2
JOFFREY,TYRION,Undirected,13,,,79,2
ARYA,GENDRY,Undirected,14,,,78,2
CERSEI,SANSA,Undirected,15,,,73,2
JON,QHORIN,Undirected,16,,,71,2
SANSA,SHAE,Undirected,17,,,60,2
BALON,THEON,Undirected,18,,,59,2
DAENERYS,SPICE_KING,Undirected,19,,,58,2
DAVOS,MATTHOS,Undirected,20,,,57,2
MELISANDRE,STANNIS,Undirected,21,,,57,2
BRAN,OSHA,Undirected,22,,,56,2
JOFFREY,SANSA,Undirected,23,,,56,2
BRIENNE,CATELYN,Undirected,24,,,54,2
CERSEI,JOFFREY,Undirected,25,,,50,2
BRIENNE,JAIME,Undirected,26,,,49,2
PYCELLE,TYRION,Undirected,27,,,49,2
DAGMER,THEON,Undirected,28,,,48,2
HOUND,JOFFREY,Undirected,29,,,48,2
MAESTER_LUWIN,THEON,Undirected,30,,,48,2
BRAN,THEON,Undirected,31,,,47,2
ALTON,JAIME,Undirected,32,,,46,2
ARYA,HOT_PIE,Undirected,33,,,43,2
DAVOS,MELISANDRE,Undirected,34,,,40,2
HOUND,SANSA,Undirected,35,,,40,2
RENLY,STANNIS,Undirected,36,,,40,2
JANOS,TYRION,Undirected,37,,,39,2
JON,SAM,Undirected,38,,,39,2
LORAS,TYRION,Undirected,39,,,38,2
JEOR,JON,Undirected,40,,,37,2
LANCEL,TYRION,Undirected,41,,,37,2
PODRICK,TYRION,Undirected,42,,,37,2
OSHA,THEON,Undirected,43,,,36,2
MARGAERY,RENLY,Undirected,44,,,35,2
EDDISON_TOLLETT,SAM,Undirected,45,,,34,2
GRENN,SAM,Undirected,46,,,34,2
ROBB,ROOSE_BOLTON,Undirected,47,,,34,2
LITTLEFINGER,TYRION,Undirected,48,,,33,2
BRAN,RICKON,Undirected,49,,,32,2
BRIENNE,RENLY,Undirected,50,,,31,2
DAENERYS,KOVARRO,Undirected,51,,,31,2
JAIME,ROBB,Undirected,52,,,31,2
CATELYN,RENLY,Undirected,53,,,30,2
BRAN,MAESTER_LUWIN,Undirected,54,,,29,2
CRASTER,JEOR,Undirected,55,,,29,2
HOUND,TYRION,Undirected,56,,,29,2
BRAN,HODOR,Undirected,57,,,28,2
GENDRY,HOT_PIE,Undirected,58,,,28,2
LITTLEFINGER,MARGAERY,Undirected,59,,,28,2
LITTLEFINGER,TYWIN,Undirected,60,,,28,2
QHORIN,YGRITTE,Undirected,61,,,28,2
CERSEI,LITTLEFINGER,Undirected,62,,,27,2
DAVOS,SALLADHOR,Undirected,63,,,27,2
EDDISON_TOLLETT,GRENN,Undirected,64,,,27,2
