Id,Label,timeset,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class
ARYA,ARYA,,11,243,6,0.335227,0.400565,502.975399,0
JAQEN,JAQEN,,6,197,7,0.282297,0.329036,13.260452,0
JORAH,JORAH,,11,244,6,0.340058,0.412288,164.226502,2
TYRION,TYRION,,19,480,6,0.388158,0.476554,872.205685,2
BRONN,BRONN,,12,237,6,0.335227,0.408757,215.89342,1
JAIME,JAIME,,17,328,6,0.40273,0.485734,835.001028,1
VARYS,VARYS,,7,136,6,0.374603,0.427119,59.676375,2
DAENERYS,DAENERYS,,14,413,6,0.334278,0.405932,333.456192,2
CERSEI,CERSEI,,30,590,5,0.459144,0.563418,1843.356675,4
HIGH_SPARROW,HIGH_SPARROW,,11,197,6,0.365325,0.426412,63.631838,4
BRIENNE,BRIENNE,,8,158,5,0.397306,0.44096,150.349958,3
PODRICK,PODRICK,,6,111,5,0.406897,0.445198,305.019187,3
JON,JON,,25,552,5,0.379421,0.486158,1076.816472,5
STANNIS,STANNIS,,24,390,4,0.452107,0.534605,2235.930393,5
LITTLEFINGER,LITTLEFINGER,,25,290,5,0.455598,0.542655,1306.09271,3
SANSA,SANSA,,21,361,5,0.445283,0.523588,897.107337,3
SAM,SAM,,20,313,5,0.349112,0.444774,511.395202,5
GILLY,GILLY,,12,148,5,0.340058,0.409463,97.744805,5
DAARIO,DAARIO,,10,202,7,0.29064,0.355872,12.764125,2
MARGAERY,MARGAERY,,8,198,6,0.352239,0.402401,5.389348,4
TOMMEN,TOMMEN,,12,179,6,0.384365,0.451836,108.965557,4
THEON,THEON,,10,178,5,0.352239,0.406638,32.468201,3
HIZDAHR,HIZDAHR,,10,133,7,0.29064,0.355872,14.204602,2
DAVOS,DAVOS,,9,178,5,0.336182,0.396045,3.295238,5
TORMUND,TORMUND,,8,113,5,0.331461,0.386158,65.609524,5
MYRCELLA,MYRCELLA,,8,138,6,0.330532,0.390395,25.473945,1
MYRANDA,MYRANDA,,6,111,5,0.343023,0.386017,0,3
RAMSAY,RAMSAY,,8,220,5,0.374603,0.424011,130.426765,3
MELISANDRE,MELISANDRE,,10,140,5,0.334278,0.396751,2.425,5
ROOSE_BOLTON,ROOSE_BOLTON,,11,123,4,0.435424,0.485169,812.78741,3
WAIF,WAIF,,3,82,7,0.252677,0.285391,0,0
SHIREEN,SHIREEN,,7,135,5,0.331461,0.38404,0.125,5
QYBURN,QYBURN,,6,73,6,0.32687,0.37839,5.370551,4
OLLY,OLLY,,10,119,5,0.337143,0.400282,2.272619,5
BARRISTAN,BARRISTAN,,7,59,7,0.25486,0.304459,12.790079,2
TYENE,TYENE,,7,75,7,0.293532,0.344996,0.388889,1
DORAN,DORAN,,10,120,7,0.305699,0.371267,14.044627,1
ELLARIA,ELLARIA,,10,116,6,0.331461,0.397458,48.404823,1
MANCE,MANCE,,6,60,5,0.331461,0.381215,1.591667,5
ALLISER_THORNE,ALLISER_THORNE,,11,85,5,0.340058,0.406638,160.7329,5
OLENNA,OLENNA,,6,97,6,0.358663,0.405932,3.616606,4
LORAS,LORAS,,9,111,6,0.364198,0.421469,9.540743,4
GREY_WORM,GREY_WORM,,7,79,7,0.288509,0.34316,9.287935,2
MISSANDEI,MISSANDEI,,6,100,7,0.287105,0.33751,0.142857,2
MACE,MACE,,10,87,6,0.334278,0.400989,152.208365,4
MOSSADOR,MOSSADOR,,7,52,7,0.288509,0.34316,8.814125,2
KARSI,KARSI,,4,57,6,0.277647,0.323588,1,5
AREO,AREO,,9,117,7,0.295,0.353471,1.372222,1
TRYSTANE,TRYSTANE,,6,67,7,0.292804,0.340759,0.222222,1
KEVAN,KEVAN,,6,37,6,0.321526,0.371328,3.610354,4
MAGGY,MAGGY,,3,24,6,0.345029,0.37839,6.216667,4
JANOS,JANOS,,7,46,5,0.334278,0.387571,0.285714,5
SELYSE,SELYSE,,7,77,5,0.331461,0.38404,0.125,5
TYCHO,TYCHO,,5,28,7,0.281623,0.324798,0,4
LANCEL,LANCEL,,7,53,6,0.359756,0.410169,23.347619,4
PYCELLE,PYCELLE,,7,44,6,0.328691,0.382627,10.221065,4
