Source,Target,Type,Id,Label,timeset,Weight,season
ARYA,HOUND,Undirected,0,,,162,4
JAIME,TYRION,Undirected,1,,,147,4
CERSEI,JAIME,Undirected,2,,,131,4
DAENERYS,JORAH,Undirected,3,,,106,4
CERSEI,TYWIN,Undirected,4,,,104,4
LITTLEFINGER,SANSA,Undirected,5,,,96,4
TYRION,TYWIN,Undirected,6,,,94,4
JON,SAM,Undirected,7,,,89,4
LYSA,SANSA,Undirected,8,,,88,4
BRONN,TYRION,Undirected,9,,,86,4
JAIME,TYWIN,Undirected,10,,,83,4
PODRICK,TYRION,Undirected,11,,,80,4
GILLY,SAM,Undirected,12,,,79,4
OBERYN,TYWIN,Undirected,13,,,79,4
BRIENNE,PODRICK,Undirected,14,,,78,4
OBERYN,TYRION,Undirected,15,,,78,4
SHAE,TYRION,Undirected,16,,,78,4
ALLISER_THORNE,JON,Undirected,17,,,68,4
JOFFREY,TYRION,Undirected,18,,,64,4
DAENERYS,MISSANDEI,Undirected,19,,,63,4
RAMSAY,THEON,Undirected,20,,,63,4
CERSEI,OBERYN,Undirected,21,,,57,4
LITTLEFINGER,LYSA,Undirected,22,,,55,4
DAARIO,DAENERYS,Undirected,23,,,54,4
GRENN,JON,Undirected,24,,,52,4
DAVOS,STANNIS,Undirected,25,,,51,4
GREY_WORM,MISSANDEI,Undirected,26,,,50,4
JON,MANCE,Undirected,27,,,50,4
ELLARIA,OBERYN,Undirected,28,,,48,4
BRAN,MEERA,Undirected,29,,,47,4
MARGAERY,OLENNA,Undirected,30,,,46,4
SANSA,TYRION,Undirected,31,,,46,4
ROBIN,SANSA,Undirected,32,,,45,4
BRAN,HODOR,Undirected,33,,,44,4
JOJEN,MEERA,Undirected,34,,,44,4
CERSEI,JOFFREY,Undirected,35,,,43,4
CERSEI,TYRION,Undirected,36,,,43,4
TOMMEN,TYWIN,Undirected,37,,,43,4
BRAN,JOJEN,Undirected,38,,,42,4
EDDISON_TOLLETT,JON,Undirected,39,,,41,4
BRIENNE,JAIME,Undirected,40,,,40,4
JANOS,JON,Undirected,41,,,39,4
RAMSAY,ROOSE_BOLTON,Undirected,42,,,39,4
CERSEI,MARGAERY,Undirected,43,,,38,4
ARYA,BRIENNE,Undirected,44,,,36,4
JOFFREY,MARGAERY,Undirected,45,,,36,4
MELISANDRE,SELYSE,Undirected,46,,,36,4
JON,TORMUND,Undirected,47,,,35,4
BARRISTAN,JORAH,Undirected,48,,,34,4
OBERYN,VARYS,Undirected,49,,,34,4
PYP,SAM,Undirected,50,,,34,4
BARRISTAN,DAENERYS,Undirected,51,,,32,4
STYR,YGRITTE,Undirected,52,,,32,4
EDDISON_TOLLETT,GRENN,Undirected,53,,,31,4
JAIME,JOFFREY,Undirected,54,,,31,4
DONTOS,SANSA,Undirected,55,,,30,4
JOFFREY,TYWIN,Undirected,56,,,30,4
LITTLEFINGER,YOHN_ROYCE,Undirected,57,,,30,4
BRONN,JAIME,Undirected,58,,,29,4
HOUND,POLLIVER,Undirected,59,,,29,4
MARGAERY,TOMMEN,Undirected,60,,,29,4
TORMUND,YGRITTE,Undirected,61,,,29,4
CERSEI,PYCELLE,Undirected,62,,,28,4
DAVOS,SHIREEN,Undirected,63,,,27,4
TYRION,VARYS,Undirected,64,,,27,4
ALLISER_THORNE,JANOS,Undirected,65,,,26,4
DAENERYS,GREY_WORM,Undirected,66,,,26,4
MAESTER_AEMON,SAM,Undirected,67,,,26,4
CERSEI,TOMMEN,Undirected,68,,,25,4
JOFFREY,SANSA,Undirected,69,,,25,4
DAENERYS,HIZDAHR,Undirected,70,,,24,4
GILLY,MOLES_TOWN_WHORE,Undirected,71,,,24,4
MELISANDRE,SHIREEN,Undirected,72,,,24,4
BRIENNE,HOT_PIE,Undirected,73,,,23,4
BRIENNE,HOUND,Undirected,74,,,22,4
ANYA_WAYNWOOD,LITTLEFINGER,Undirected,75,,,21,4
HODOR,JOJEN,Undirected,76,,,21,4
JON,LOCKE,Undirected,77,,,21,4
