Source,Target,Type,Id,Label,timeset,Weight,season
ARYA,JAQEN,Undirected,0,,,148,5
JORAH,TYRION,Undirected,1,,,141,5
BRONN,JAIME,Undirected,2,,,121,5
TYRION,VARYS,Undirected,3,,,110,5
DAENERYS,TYRION,Undirected,4,,,98,5
CERSEI,HIGH_SPARROW,Undirected,5,,,96,5
BRIENNE,PODRICK,Undirected,6,,,90,5
JON,STANNIS,Undirected,7,,,90,5
LITTLEFINGER,SANSA,Undirected,8,,,89,5
JON,SAM,Undirected,9,,,85,5
GILLY,SAM,Undirected,10,,,83,5
DAARIO,DAENERYS,Undirected,11,,,81,5
MARGAERY,TOMMEN,Undirected,12,,,79,5
SANSA,THEON,Undirected,13,,,77,5
DAENERYS,HIZDAHR,Undirected,14,,,69,5
DAVOS,STANNIS,Undirected,15,,,68,5
JON,TORMUND,Undirected,16,,,63,5
CERSEI,TOMMEN,Undirected,17,,,62,5
JAIME,MYRCELLA,Undirected,18,,,58,5
MYRANDA,SANSA,Undirected,19,,,58,5
RAMSAY,THEON,Undirected,20,,,58,5
MELISANDRE,STANNIS,Undirected,21,,,52,5
RAMSAY,ROOSE_BOLTON,Undirected,22,,,51,5
RAMSAY,SANSA,Undirected,23,,,51,5
CERSEI,LITTLEFINGER,Undirected,24,,,50,5
ARYA,WAIF,Undirected,25,,,48,5
SHIREEN,STANNIS,Undirected,26,,,47,5
CERSEI,MARGAERY,Undirected,27,,,46,5
CERSEI,QYBURN,Undirected,28,,,41,5
JON,OLLY,Undirected,29,,,41,5
CERSEI,JAIME,Undirected,30,,,40,5
DAENERYS,JORAH,Undirected,31,,,40,5
JON,MELISANDRE,Undirected,32,,,39,5
BARRISTAN,DAENERYS,Undirected,33,,,38,5
DAVOS,JON,Undirected,34,,,35,5
DAVOS,SHIREEN,Undirected,35,,,35,5
BRONN,TYENE,Undirected,36,,,34,5
DORAN,ELLARIA,Undirected,37,,,33,5
JON,MANCE,Undirected,38,,,33,5
ALLISER_THORNE,JON,Undirected,39,,,32,5
JAQEN,WAIF,Undirected,40,,,32,5
HIGH_SPARROW,OLENNA,Undirected,41,,,30,5
LORAS,MARGAERY,Undirected,42,,,30,5
OLLY,SAM,Undirected,43,,,30,5
GREY_WORM,MISSANDEI,Undirected,44,,,29,5
CERSEI,MACE,Undirected,45,,,28,5
DAENERYS,MOSSADOR,Undirected,46,,,28,5
JON,KARSI,Undirected,47,,,28,5
MYRANDA,RAMSAY,Undirected,48,,,28,5
AREO,DORAN,Undirected,49,,,27,5
BRIENNE,LITTLEFINGER,Undirected,50,,,27,5
DAARIO,TYRION,Undirected,51,,,27,5
CERSEI,OLENNA,Undirected,52,,,26,5
DAARIO,HIZDAHR,Undirected,53,,,24,5
DORAN,JAIME,Undirected,54,,,24,5
MYRCELLA,TRYSTANE,Undirected,55,,,24,5
SAM,STANNIS,Undirected,56,,,24,5
DAENERYS,MISSANDEI,Undirected,57,,,22,5
LITTLEFINGER,ROOSE_BOLTON,Undirected,58,,,22,5
