Source,Target,Type,Id,Label,timeset,Weight,season
JON,YGRITTE,Undirected,0,,,159,3
BRIENNE,JAIME,Undirected,1,,,127,3
TYRION,TYWIN,Undirected,2,,,115,3
RAMSAY,THEON,Undirected,3,,,114,3
CERSEI,TYRION,Undirected,4,,,95,3
GILLY,SAM,Undirected,5,,,95,3
ROBB,TALISA,Undirected,6,,,89,3
SANSA,TYRION,Undirected,7,,,85,3
ARYA,HOUND,Undirected,8,,,79,3
DAVOS,STANNIS,Undirected,9,,,77,3
SHAE,TYRION,Undirected,10,,,75,3
BRONN,TYRION,Undirected,11,,,71,3
DAENERYS,JORAH,Undirected,12,,,69,3
BRAN,OSHA,Undirected,13,,,68,3
DAENERYS,MISSANDEI,Undirected,14,,,67,3
BRAN,JOJEN,Undirected,15,,,65,3
JOFFREY,MARGAERY,Undirected,16,,,64,3
ARYA,THOROS,Undirected,17,,,63,3
MARGAERY,SANSA,Undirected,18,,,63,3
JAIME,LOCKE,Undirected,19,,,59,3
BARRISTAN,JORAH,Undirected,20,,,57,3
CERSEI,TYWIN,Undirected,21,,,57,3
CERSEI,JOFFREY,Undirected,22,,,54,3
CATELYN,ROBB,Undirected,23,,,52,3
KRAZNYS_MO_NAKLOZ,MISSANDEI,Undirected,24,,,52,3
JAIME,QYBURN,Undirected,25,,,51,3
DAVOS,GENDRY,Undirected,26,,,50,3
JOFFREY,TYWIN,Undirected,27,,,49,3
MELISANDRE,STANNIS,Undirected,28,,,49,3
EDMURE,ROBB,Undirected,29,,,46,3
GENDRY,MELISANDRE,Undirected,30,,,46,3
ARYA,GENDRY,Undirected,31,,,45,3
SANSA,SHAE,Undirected,32,,,45,3
BRAN,HODOR,Undirected,33,,,39,3
DAVOS,SHIREEN,Undirected,34,,,38,3
OLENNA,VARYS,Undirected,35,,,38,3
RICKARD_KARSTARK,ROBB,Undirected,36,,,38,3
BARRISTAN,DAENERYS,Undirected,37,,,37,3
JON,ORELL,Undirected,38,,,37,3
DAARIO,DAENERYS,Undirected,39,,,36,3
JON,MANCE,Undirected,40,,,36,3
LITTLEFINGER,SANSA,Undirected,41,,,36,3
PODRICK,TYRION,Undirected,42,,,36,3
OLENNA,TYWIN,Undirected,43,,,35,3
JON,TORMUND,Undirected,44,,,34,3
MEERA,OSHA,Undirected,45,,,34,3
ARYA,BERIC,Undirected,46,,,33,3
CATELYN,TALISA,Undirected,47,,,33,3
CERSEI,MARGAERY,Undirected,48,,,33,3
DAVOS,MELISANDRE,Undirected,49,,,33,3
ORELL,YGRITTE,Undirected,50,,,32,3
LORAS,SANSA,Undirected,51,,,31,3
OLENNA,TYRION,Undirected,52,,,31,3
OLENNA,SANSA,Undirected,53,,,30,3
ORELL,TORMUND,Undirected,54,,,30,3
BRAN,MEERA,Undirected,55,,,29,3
JAIME,ROOSE_BOLTON,Undirected,56,,,29,3
