Id,Label,timeset,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class
CERSEI,CERSEI,,31,549,4,0.502203,0.59576,497.108329,0
TYRION,TYRION,,33,960,3,0.535211,0.618421,1146.701283,0
DAENERYS,DAENERYS,,13,383,1,1,1,42,1
JORAH,JORAH,,9,183,2,0.764706,0.846154,4,1
ARYA,ARYA,,27,481,4,0.483051,0.570175,1227.670778,2
JAQEN,JAQEN,,8,142,5,0.345455,0.399561,9.930462,2
DAVOS,DAVOS,,15,281,5,0.407143,0.480409,279.710785,4
STANNIS,STANNIS,,22,334,4,0.463415,0.540936,199.709912,4
JON,JON,,12,321,4,0.38255,0.439327,901.213766,3
YGRITTE,YGRITTE,,4,160,5,0.279412,0.311111,0,3
ROBB,ROBB,,28,420,4,0.506667,0.58845,951.357982,4
TALISA,TALISA,,8,136,5,0.386441,0.438012,32.867466,4
TYWIN,TYWIN,,25,264,4,0.478992,0.562135,525.455583,2
VARYS,VARYS,,14,210,4,0.447059,0.504386,87.855085,0
SHAE,SHAE,,12,208,4,0.4,0.459795,11.481911,0
BRONN,BRONN,,15,168,4,0.408602,0.477339,26.962184,0
THEON,THEON,,20,447,4,0.44186,0.516813,695.416284,5
YARA,YARA,,5,111,4,0.38255,0.416667,11.912866,5
CATELYN,CATELYN,,23,323,4,0.497817,0.567982,529.987789,4
XARO,XARO,,9,152,2,0.764706,0.846154,4,1
JOFFREY,JOFFREY,,36,425,4,0.535211,0.629386,816.852835,0
GENDRY,GENDRY,,10,139,4,0.38,0.432749,73.295142,2
SANSA,SANSA,,19,325,4,0.481013,0.544591,178.919981,0
QHORIN,QHORIN,,6,136,5,0.29765,0.338012,13.228968,3
BALON,BALON,,5,89,4,0.387755,0.422515,2.309807,5
SPICE_KING,SPICE_KING,,6,88,2,0.65,0.730769,2,1
MATTHOS,MATTHOS,,9,107,4,0.398601,0.445906,32.921993,4
MELISANDRE,MELISANDRE,,8,125,5,0.358491,0.408772,6.948184,4
BRAN,BRAN,,13,239,5,0.408602,0.475292,240.280833,5
OSHA,OSHA,,8,150,5,0.368932,0.419006,35.235768,5
BRIENNE,BRIENNE,,13,173,4,0.408602,0.466374,39.998539,4
JAIME,JAIME,,18,223,4,0.473029,0.534357,485.81569,4
PYCELLE,PYCELLE,,14,110,4,0.411552,0.477339,52.480456,0
DAGMER,DAGMER,,10,82,5,0.326648,0.383918,8.155839,5
HOUND,HOUND,,14,170,4,0.435115,0.495614,32.016682,0
MAESTER_LUWIN,MAESTER_LUWIN,,10,122,5,0.326648,0.383918,117.489173,5
ALTON,ALTON,,7,91,4,0.402827,0.443713,22.974298,4
HOT_PIE,HOT_PIE,,8,93,5,0.333333,0.38348,4.066667,2
RENLY,RENLY,,13,220,5,0.402827,0.470175,131.758451,4
JANOS,JANOS,,11,79,4,0.393103,0.449561,195.203125,0
SAM,SAM,,9,155,5,0.300792,0.352632,232.374288,3
LORAS,LORAS,,16,150,4,0.440154,0.508041,75.764072,4
JEOR,JEOR,,6,93,4,0.38,0.419591,350.012286,3
LANCEL,LANCEL,,10,101,4,0.390411,0.443713,6.285939,0
PODRICK,PODRICK,,11,80,4,0.391753,0.448099,5.248669,0
MARGAERY,MARGAERY,,9,106,5,0.385135,0.441667,11.154668,4
EDDISON_TOLLETT,EDDISON_TOLLETT,,6,78,5,0.298429,0.339474,5.540955,3
GRENN,GRENN,,4,69,5,0.280788,0.314035,0,3
ROOSE_BOLTON,ROOSE_BOLTON,,5,48,5,0.35625,0.394883,113,4
LITTLEFINGER,LITTLEFINGER,,20,249,4,0.481013,0.548246,185.974089,0
RICKON,RICKON,,10,85,5,0.365385,0.42193,147.309656,5
