Id,Label,timeset,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class
ARYA,ARYA,,24,305,5,0.384439,0.463194,1400.781077,4
HOUND,HOUND,,20,297,5,0.360515,0.436409,749.052316,4
JAIME,JAIME,,29,598,5,0.435233,0.514583,1113.751753,0
TYRION,TYRION,,38,876,5,0.413793,0.517262,1322.068678,0
CERSEI,CERSEI,,33,619,5,0.416873,0.507639,1071.25492,0
DAENERYS,DAENERYS,,16,349,6,0.290657,0.364385,1342.298036,1
JORAH,JORAH,,9,178,6,0.287179,0.343552,228.125813,1
TYWIN,TYWIN,,28,586,5,0.410758,0.493651,994.493985,0
LITTLEFINGER,LITTLEFINGER,,14,263,5,0.36129,0.420238,185.128831,2
SANSA,SANSA,,31,468,5,0.410758,0.502381,777.784341,2
JON,JON,,30,542,6,0.371681,0.469345,2115.9366,3
SAM,SAM,,25,339,6,0.339394,0.430655,1057.037533,3
LYSA,LYSA,,13,206,5,0.368421,0.427183,190.033528,2
BRONN,BRONN,,15,160,5,0.344969,0.410813,235.964645,0
PODRICK,PODRICK,,16,224,5,0.36129,0.434623,126.850415,4
GILLY,GILLY,,9,147,7,0.25886,0.314442,11.2375,3
OBERYN,OBERYN,,25,468,5,0.357447,0.44752,302.649205,0
BRIENNE,BRIENNE,,16,262,5,0.379233,0.446032,325.542637,4
SHAE,SHAE,,12,153,5,0.340081,0.402381,16.369004,0
ALLISER_THORNE,ALLISER_THORNE,,14,168,7,0.291667,0.364838,55.714603,3
JOFFREY,JOFFREY,,40,376,4,0.460274,0.554563,2976.370714,0
MISSANDEI,MISSANDEI,,8,156,6,0.267516,0.31379,192.727778,1
RAMSAY,RAMSAY,,10,157,6,0.32,0.369841,603.949058,5
THEON,THEON,,10,142,6,0.303249,0.349603,711.285335,5
DAARIO,DAARIO,,6,98,6,0.266244,0.306845,13.969375,1
GRENN,GRENN,,21,197,6,0.334661,0.415774,529.76017,3
DAVOS,DAVOS,,13,144,6,0.316981,0.378671,369.989975,7
STANNIS,STANNIS,,17,150,5,0.397163,0.46121,2585.931758,7
GREY_WORM,GREY_WORM,,8,118,6,0.267943,0.314782,495.4,1
MANCE,MANCE,,6,77,6,0.314019,0.358829,51.250483,3
ELLARIA,ELLARIA,,18,141,5,0.352201,0.426687,138.053769,0
BRAN,BRAN,,15,204,6,0.358209,0.422718,733.967328,6
MEERA,MEERA,,11,150,6,0.332016,0.382242,299.443039,6
MARGAERY,MARGAERY,,17,224,5,0.345679,0.420238,19.285664,0
OLENNA,OLENNA,,14,105,5,0.342857,0.410317,498.431385,0
ROBIN,ROBIN,,6,89,6,0.306569,0.35377,10.08347,2
HODOR,HODOR,,10,106,6,0.330709,0.378274,268.120137,6
JOJEN,JOJEN,,11,138,7,0.287671,0.35095,43.823655,6
TOMMEN,TOMMEN,,16,178,5,0.384439,0.446726,268.023251,0
EDDISON_TOLLETT,EDDISON_TOLLETT,,17,136,6,0.331361,0.402877,147.306255,3
JANOS,JANOS,,12,116,7,0.28866,0.35591,48.320079,3
ROOSE_BOLTON,ROOSE_BOLTON,,7,68,6,0.324952,0.365377,389.791856,5
MELISANDRE,MELISANDRE,,10,86,6,0.314607,0.36875,11.939514,7
SELYSE,SELYSE,,10,82,6,0.314607,0.36875,11.939514,7
TORMUND,TORMUND,,11,113,7,0.279534,0.341624,106.126843,3
BARRISTAN,BARRISTAN,,9,105,5,0.348548,0.400694,1493.459081,1
VARYS,VARYS,,17,138,5,0.374165,0.449802,1573.790086,0
PYP,PYP,,11,81,7,0.280467,0.343608,17.810325,3
STYR,STYR,,9,84,7,0.278607,0.335672,123.4928,3
YGRITTE,YGRITTE,,11,104,7,0.280467,0.343608,159.898742,3
DONTOS,DONTOS,,5,58,5,0.332016,0.376587,0.360689,2
YOHN_ROYCE,YOHN_ROYCE,,6,64,6,0.326848,0.365575,26.048675,2
POLLIVER,POLLIVER,,6,60,5,0.330059,0.375595,30.866361,4
PYCELLE,PYCELLE,,13,104,5,0.347107,0.409821,13.428933,0
SHIREEN,SHIREEN,,9,73,6,0.314019,0.365774,0,7
MAESTER_AEMON,MAESTER_AEMON,,13,68,6,0.31758,0.379663,55.359024,3
HIZDAHR,HIZDAHR,,4,38,7,0.226415,0.263393,1.5,1
MOLES_TOWN_WHORE,MOLES_TOWN_WHORE,,4,33,7,0.254932,0.2946,0,3
HOT_PIE,HOT_PIE,,3,31,6,0.299465,0.335417,0,4
ANYA_WAYNWOOD,ANYA_WAYNWOOD,,6,49,6,0.296296,0.339187,1.024242,2
LOCKE,LOCKE,,16,91,7,0.300537,0.382497,505.3654,3
MACE,MACE,,17,127,5,0.352941,0.425694,22.37812,0
OLYVAR,OLYVAR,,4,51,6,0.264984,0.303671,0,0
FARMER_HAMLET,FARMER_HAMLET,,3,44,6,0.286201,0.31756,0,4
LITTLE_SAM,LITTLE_SAM,,6,47,7,0.256098,0.301545,1.733333,3
YARA,YARA,,5,44,7,0.256489,0.289938,145.822474,5
QYBURN,QYBURN,,4,41,5,0.31758,0.352282,0.181818,0
