Id,Label,timeset,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class
DAENERYS,DAENERYS,,41,843,3,0.68932,0.784038,351.893404,0
JON,JON,,36,914,4,0.633929,0.74061,149.783173,0
TYRION,TYRION,,41,1062,3,0.68932,0.784038,165.871002,0
JAIME,JAIME,,32,586,3,0.633929,0.720657,137.505596,0
BRIENNE,BRIENNE,,34,476,3,0.645455,0.734742,106.333557,0
VARYS,VARYS,,31,400,4,0.606838,0.705399,125.217578,0
SANSA,SANSA,,40,577,4,0.657407,0.768779,157.667959,0
DAVOS,DAVOS,,37,393,3,0.663551,0.755869,83.697552,0
ARYA,ARYA,,39,509,4,0.657407,0.764085,260.226862,0
GENDRY,GENDRY,,30,279,4,0.596639,0.696009,21.694524,0
SAM,SAM,,42,461,3,0.696078,0.79108,260.521293,0
HOUND,HOUND,,24,279,3,0.577236,0.657277,101.186764,0
BRAN,BRAN,,32,349,3,0.633929,0.720657,41.172216,0
JORAH,JORAH,,25,274,4,0.577236,0.663146,6.358965,0
GREY_WORM,GREY_WORM,,38,454,4,0.645455,0.754695,90.044092,0
TORMUND,TORMUND,,29,417,4,0.596639,0.691315,57.914406,0
CERSEI,CERSEI,,18,254,3,0.554688,0.617371,49.147119,1
QYBURN,QYBURN,,10,114,4,0.5,0.548122,59.59701,1
BRONN,BRONN,,13,124,4,0.510791,0.569249,216.550635,1
EURON,EURON,,12,105,4,0.496503,0.555164,7.559764,1
BERIC,BERIC,,28,209,4,0.591667,0.684272,28.475899,0
PODRICK,PODRICK,,21,162,4,0.559055,0.634977,7.0358,0
THEON,THEON,,24,122,4,0.572581,0.656103,9.220162,0
MISSANDEI,MISSANDEI,,25,183,3,0.586777,0.666667,23.643545,0
MOUNTAIN,MOUNTAIN,,10,88,3,0.507143,0.551643,2.862965,1
NORA,NORA,,3,48,4,0.415205,0.449531,0,0
VICKY,VICKY,,3,39,4,0.415205,0.449531,0,0
NIGHT_KING,NIGHT_KING,,6,57,4,0.470199,0.508216,0,0
LYANNA_MORMONT,LYANNA_MORMONT,,22,138,4,0.563492,0.642019,1.009766,0
EDDISON_TOLLETT,EDDISON_TOLLETT,,18,82,4,0.541985,0.611502,9.933267,0
YOHN_ROYCE,YOHN_ROYCE,,29,121,4,0.596639,0.691315,11.025802,0
MELISANDRE,MELISANDRE,,8,60,4,0.452229,0.503521,0.066667,0
CRAYAH,CRAYAH,,5,27,5,0.362245,0.404225,72.55085,1
DIRAH,DIRAH,,3,20,5,0.34466,0.376056,0,1
MAESTER_WOLKAN,MAESTER_WOLKAN,,25,105,4,0.577236,0.663146,7.958447,0
HARRY,HARRY,,5,21,4,0.44375,0.483568,0.35101,1
GILLY,GILLY,,13,76,4,0.496503,0.561033,3.789975,0
MARTHA,MARTHA,,1,11,5,0.379679,0.406573,0,0
LITTLE_SAM,LITTLE_SAM,,7,33,4,0.461039,0.507042,0,0
LYANNA,LYANNA,,7,26,4,0.467105,0.511737,3.245014,0
ALYS,ALYS,,22,92,4,0.563492,0.642019,0.587196,0
YARA,YARA,,20,60,4,0.546154,0.623239,6.205176,0
NED,NED,,6,21,5,0.438272,0.488732,2.07206,0
RHAEGAR,RHAEGAR,,5,19,4,0.446541,0.485915,0.649662,0
QHONO,QHONO,,23,80,4,0.568,0.649061,4.9841,0
MAREI,MAREI,,3,11,5,0.34466,0.376056,0,1
EDMURE,EDMURE,,17,44,4,0.522059,0.59507,0,0
ROBERT,ROBERT,,7,18,4,0.467105,0.511737,3.544658,0
JOFFREY,JOFFREY,,3,9,4,0.438272,0.46831,0.84451,0
WILLA,WILLA,,4,11,4,0.42515,0.464789,0,0
TYWIN,TYWIN,,4,12,4,0.449367,0.483568,0,1
OWEN,OWEN,,2,6,5,0.403409,0.435915,70,0
VISERYS,VISERYS,,1,4,4,0.410405,0.434272,0,0
TEELA,TEELA,,7,16,4,0.455128,0.502347,0,0
DORNISH_PRINCE,DORNISH_PRINCE,,17,37,4,0.522059,0.59507,0,0
ROBIN,ROBIN,,17,41,4,0.522059,0.59507,0,0
NED_UMBER,NED_UMBER,,5,12,4,0.458065,0.495305,0,0
RANDYLL,RANDYLL,,3,8,4,0.44375,0.474178,0,0
RIVERLANDS_LORD,RIVERLANDS_LORD,,17,36,4,0.522059,0.59507,0,0
VALE_LORD,VALE_LORD,,17,36,4,0.522059,0.59507,0,0
UNSULLIED_CAPTAIN,UNSULLIED_CAPTAIN,,2,5,5,0.415205,0.448826,0,0
SARRA,SARRA,,4,9,4,0.42515,0.464789,0,0
IRONBORN_LORD,IRONBORN_LORD,,17,36,4,0.522059,0.59507,0,0
MARWYN,MARWYN,,1,3,4,0.412791,0.43662,0,0
AEGON,AEGON,,1,2,4,0.410405,0.434272,0,0
AERYS,AERYS,,2,4,4,0.427711,0.455399,0,0
ALANNA,ALANNA,,1,2,6,0.288618,0.305399,0,0
ALTON,ALTON,,1,2,4,0.39011,0.413146,0,0
CATELYN,CATELYN,,1,2,4,0.394444,0.41784,0,0
CERSEIS_BABY,CERSEIS_BABY,,3,6,4,0.42515,0.457746,0,1
WILLIAM,WILLIAM,,1,2,6,0.266917,0.285915,0,1
DICKON,DICKON,,3,6,4,0.44375,0.474178,0,0
LITTLEFINGER,LITTLEFINGER,,1,2,1,1,1,0,2
RAMSAY,RAMSAY,,1,2,1,1,1,0,2
