Id,Label,timeset,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class
NED,NED,,57,1290,3,0.628141,0.72,2350.421613,0
ROBERT,ROBERT,,36,563,3,0.553097,0.628,855.559366,0
DAENERYS,DAENERYS,,18,535,4,0.456204,0.517333,786.092478,1
JORAH,JORAH,,15,294,4,0.432526,0.490667,417.805914,1
JON,JON,,26,535,4,0.518672,0.582,661.357072,2
SAM,SAM,,12,230,5,0.361272,0.4156,251.13456,2
LITTLEFINGER,LITTLEFINGER,,26,383,4,0.477099,0.555333,120.774397,0
VARYS,VARYS,,21,297,4,0.496032,0.554667,195.353946,0
DROGO,DROGO,,13,190,4,0.388199,0.445333,217.975678,1
ARYA,ARYA,,28,373,4,0.502008,0.576667,511.5461,0
CATELYN,CATELYN,,36,584,3,0.550661,0.626667,916.70141,3
ROBB,ROBB,,30,424,4,0.512295,0.588667,620.005746,3
BRONN,BRONN,,12,139,4,0.393082,0.447333,22.496974,4
TYRION,TYRION,,41,709,4,0.543478,0.636667,1263.462623,4
CERSEI,CERSEI,,29,444,4,0.50813,0.583333,137.073323,0
SHAE,SHAE,,3,88,5,0.358166,0.390267,0,4
JOFFREY,JOFFREY,,27,375,4,0.510204,0.579333,222.001064,0
SANSA,SANSA,,26,422,4,0.492126,0.565333,156.079209,0
PYCELLE,PYCELLE,,16,183,4,0.429553,0.491333,16.132473,0
VISERYS,VISERYS,,9,206,4,0.383436,0.429333,48.646008,1
SEPTA_MORDANE,SEPTA_MORDANE,,6,95,4,0.404531,0.441333,1.580988,0
TYWIN,TYWIN,,17,169,4,0.462963,0.520667,207.480746,4
JEOR,JEOR,,16,152,4,0.462963,0.518,277.487769,2
THEON,THEON,,19,259,4,0.477099,0.536,229.539882,3
BRAN,BRAN,,20,320,4,0.492126,0.548667,200.866228,3
MAESTER_LUWIN,MAESTER_LUWIN,,10,139,4,0.44964,0.491333,19.417563,3
JAIME,JAIME,,24,318,4,0.498008,0.563333,161.650638,4
LORAS,LORAS,,8,70,4,0.403226,0.444667,124.325,0
RENLY,RENLY,,17,180,4,0.437063,0.499333,43.675241,0
MIRRI_MAZ_DUUR,MIRRI_MAZ_DUUR,,5,81,5,0.321337,0.3552,0,1
SYRIO_FOREL,SYRIO_FOREL,,3,61,4,0.39557,0.424,0,0
JORY_CASSEL,JORY_CASSEL,,8,100,4,0.420875,0.460667,11.191965,0
PYP,PYP,,16,173,4,0.454545,0.512,472.057725,2
ROS,ROS,,9,97,4,0.44964,0.487333,4.211423,3
GRENN,GRENN,,8,101,5,0.379939,0.426933,14.720731,2
WALDER,WALDER,,8,57,4,0.383436,0.426667,259.585714,3
DOREAH,DOREAH,,8,81,5,0.324675,0.368533,127.511204,1
BENJEN,BENJEN,,9,82,4,0.461255,0.496667,4.693867,2
IRRI,IRRI,,7,65,5,0.323834,0.364533,2.844538,1
GREATJON_UMBER,GREATJON_UMBER,,12,78,4,0.440141,0.489333,76.151614,3
MORD,MORD,,7,52,4,0.383436,0.423333,0.75,4
LYSA,LYSA,,7,112,4,0.385802,0.426,2.340233,4
RAKHARO,RAKHARO,,8,76,5,0.323834,0.3672,2.666667,1
ROBIN,ROBIN,,7,61,4,0.385802,0.426,2.340233,4
OSHA,OSHA,,6,79,5,0.352113,0.390267,1.557576,3
RODRIK,RODRIK,,13,97,4,0.459559,0.506667,33.506735,3
QOTHO,QOTHO,,5,57,5,0.321337,0.3552,0,1
MAESTER_AEMON,MAESTER_AEMON,,9,64,4,0.403226,0.448667,74.330956,2
BARRISTAN,BARRISTAN,,11,91,4,0.413907,0.463333,3.82559,0
ILLYRIO,ILLYRIO,,6,54,4,0.374251,0.412667,23.514424,1
SHAGGA,SHAGGA,,4,35,5,0.359195,0.394267,0,4
YOREN,YOREN,,16,93,4,0.44964,0.508,26.786419,0
ALLISER_THORNE,ALLISER_THORNE,,8,73,5,0.357143,0.3996,1.81746,2
WINE_MERCHANT,WINE_MERCHANT,,4,35,5,0.320513,0.3512,0.333333,1
HOUND,HOUND,,18,109,4,0.471698,0.53,47.82748,0
LANCEL,LANCEL,,5,27,4,0.398089,0.431333,0,0
RICKON,RICKON,,3,20,5,0.34626,0.374267,0,3
MARILLION,MARILLION,,7,34,4,0.401929,0.441333,7.130242,0
KEVAN,KEVAN,,7,40,5,0.368732,0.414267,16.812268,4
