Id,Label,timeset,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class
JON,JON,,31,598,5,0.449324,0.551378,1888.579323,0
SANSA,SANSA,,40,549,4,0.513514,0.612155,2592.095879,0
MISSANDEI,MISSANDEI,,10,184,5,0.348168,0.403509,140.966071,1
TYRION,TYRION,,26,442,4,0.455479,0.540727,1466.006508,1
VARYS,VARYS,,16,178,4,0.382184,0.453008,489.325104,1
ARYA,ARYA,,17,275,4,0.429032,0.495614,326.00928,2
JAQEN,JAQEN,,3,105,5,0.322034,0.353383,6.823465,2
DAVOS,DAVOS,,23,394,5,0.388889,0.47807,227.235462,0
MELISANDRE,MELISANDRE,,13,200,5,0.378917,0.441729,57.799875,0
GREY_WORM,GREY_WORM,,9,180,5,0.347258,0.399749,8.966071,1
GILLY,GILLY,,7,137,7,0.247212,0.291461,2.7,3
SAM,SAM,,9,174,6,0.322816,0.382456,1009.7,3
BRAN,BRAN,,17,273,5,0.387755,0.463033,625.514211,4
THREE_EYED_RAVEN,THREE_EYED_RAVEN,,11,144,6,0.312207,0.372807,26.917169,4
HIGH_SPARROW,HIGH_SPARROW,,10,226,5,0.3325,0.391729,8.127056,6
MARGAERY,MARGAERY,,17,264,4,0.423567,0.487469,433.608403,6
THEON,THEON,,13,171,5,0.405488,0.465539,845.980147,5
YARA,YARA,,9,151,5,0.347258,0.399749,75.553205,5
DAENERYS,DAENERYS,,18,289,5,0.355615,0.433584,821.152665,1
CERSEI,CERSEI,,27,329,4,0.443333,0.530075,1156.947396,6
JAIME,JAIME,,24,407,4,0.438944,0.518797,1287.537071,6
LADY_CRANE,LADY_CRANE,,14,180,4,0.401813,0.462406,62.433917,2
DAARIO,DAARIO,,5,122,6,0.26494,0.305388,0.666667,1
JORAH,JORAH,,5,88,6,0.26494,0.305388,0.666667,1
LITTLEFINGER,LITTLEFINGER,,10,116,5,0.371508,0.426692,29.385664,0
TORMUND,TORMUND,,21,242,5,0.387755,0.471805,216.671128,0
MEERA,MEERA,,7,135,6,0.283582,0.328947,1.2,4
BRIENNE,BRIENNE,,12,218,4,0.419558,0.469298,199.584786,0
TOMMEN,TOMMEN,,10,208,5,0.333333,0.392982,11.366667,6
WAIF,WAIF,,3,70,5,0.303653,0.333459,0.725,2
EDDISON_TOLLETT,EDDISON_TOLLETT,,12,157,5,0.368421,0.427945,41.51877,0
HOUND,HOUND,,5,107,2,0.777778,0.857143,7,7
RAY,RAY,,4,56,2,0.7,0.785714,2,7
OLENNA,OLENNA,,14,141,5,0.340153,0.413033,1120.990152,6
HODOR,HODOR,,9,117,6,0.310748,0.365288,21.250502,4
RAMSAY,RAMSAY,,19,256,5,0.39233,0.473058,587.080756,0
BRONN,BRONN,,7,73,4,0.3325,0.375313,12.247198,6
BRYNDEN,BRYNDEN,,11,114,4,0.378917,0.434837,333.157167,6
KHAL_MORO,KHAL_MORO,,4,43,6,0.264414,0.301629,1,1
SMALLJON,SMALLJON,,13,84,5,0.374648,0.43797,94.346286,0
LORAS,LORAS,,9,85,5,0.331671,0.38797,4.261905,6
EDMURE,EDMURE,,10,78,5,0.32439,0.377945,168.363853,6
BENJEN,BENJEN,,7,71,6,0.309302,0.357769,6.796318,4
QYBURN,QYBURN,,8,69,5,0.343669,0.399875,165.434921,6
LYANNA,LYANNA,,5,50,6,0.30787,0.350251,0,4
NED,NED,,23,148,5,0.430421,0.514411,1112.055098,4
PODRICK,PODRICK,,10,89,4,0.415625,0.460526,200.969974,0
BERIC,BERIC,,3,37,2,0.636364,0.714286,0,7
THOROS,THOROS,,3,36,2,0.636364,0.714286,0,7
ROOSE_BOLTON,ROOSE_BOLTON,,7,48,5,0.366391,0.412907,117.809466,0
LYANNA_MORMONT,LYANNA_MORMONT,,10,76,5,0.372549,0.427945,21.89035,0
BALON,BALON,,4,48,6,0.291028,0.322055,0,5
OSHA,OSHA,,2,25,6,0.282979,0.31391,0,0
ALLISER_THORNE,ALLISER_THORNE,,9,77,6,0.318182,0.374937,0.742857,0
CAMELLO,CAMELLO,,9,55,5,0.381089,0.434837,2.211111,2
LITTLE_SAM,LITTLE_SAM,,5,49,7,0.246296,0.283942,0,3
SEPTA_UNELLA,SEPTA_UNELLA,,5,52,5,0.317422,0.357895,1.666667,6
MELESSA,MELESSA,,6,66,7,0.246753,0.287701,0.2,3
WALDA,WALDA,,3,33,6,0.283582,0.317669,0.5,0
LEAF,LEAF,,5,55,6,0.282378,0.321429,0,4
WALDER,WALDER,,8,75,4,0.351852,0.400376,56.088847,6
ROBETT,ROBETT,,6,35,5,0.371508,0.416667,6.77996,0
KEVAN,KEVAN,,10,64,5,0.333333,0.392982,6.225,6
EURON,EURON,,4,58,6,0.291028,0.322055,0,5
BIANCA,BIANCA,,12,80,4,0.411765,0.467419,34.841409,2
BOBONO,BOBONO,,13,82,4,0.413043,0.471178,38.316409,2
PYCELLE,PYCELLE,,7,53,5,0.330846,0.381704,4.525,6
IZEMBARO,IZEMBARO,,13,80,4,0.413043,0.471178,31.857817,2
YOHN_ROYCE,YOHN_ROYCE,,3,25,5,0.341902,0.375313,0,0
YEZZAN,YEZZAN,,7,51,5,0.327586,0.377318,0,1
BLACK_WALDER,BLACK_WALDER,,6,63,5,0.313679,0.356015,0,6
LOTHAR,LOTHAR,,6,51,5,0.313679,0.356015,0,6
LANCEL,LANCEL,,7,40,5,0.312941,0.358521,3,6
LHAZAREEN_WOMAN,LHAZAREEN_WOMAN,,4,30,6,0.264414,0.301629,0,1
KINVARA,KINVARA,,3,28,5,0.323601,0.361028,0,1
ROBIN,ROBIN,,3,24,5,0.341902,0.375313,0,0
RANDYLL,RANDYLL,,6,43,7,0.246753,0.287701,0.2,3
VALA,VALA,,3,19,5,0.28178,0.317043,3.5,1
WUN_WUN,WUN_WUN,,11,60,5,0.372549,0.430451,12.409131,0
MAESTER_CITADEL,MAESTER_CITADEL,,2,17,7,0.244936,0.272664,0,3
RICKON,RICKON,,9,46,5,0.386628,0.441729,42.497399,0
ARTHUR,ARTHUR,,4,22,6,0.307159,0.346491,0,4
NIGHT_KING,NIGHT_KING,,5,34,6,0.282378,0.321429,0,4
MAESTER_WOLKAN,MAESTER_WOLKAN,,4,22,6,0.284188,0.321429,1,0
TALLA,TALLA,,6,38,7,0.246753,0.287701,0.2,3
CLARENZO,CLARENZO,,12,73,4,0.399399,0.454887,10.794913,2
DICKON,DICKON,,5,22,7,0.246296,0.283942,0,3
JOFFREY,JOFFREY,,10,51,4,0.397015,0.447368,0.35,2
LEM,LEM,,6,27,2,0.875,0.928571,7,7
MACE,MACE,,9,49,5,0.331671,0.38797,4.770238,6
SON_OFWALDA,SON_OFWALDA,,2,21,6,0.282979,0.31391,0,0
RAZDAL,RAZDAL,,7,46,5,0.327586,0.377318,0,1
AERON,AERON,,4,25,6,0.291028,0.322055,0,5
STANNIS,STANNIS,,7,32,5,0.386628,0.430451,114.929768,0
ELLARIA,ELLARIA,,8,33,6,0.260274,0.31416,321.5,8
GATINS,GATINS,,1,9,3,0.466667,0.52381,0,7
NYMERIA,NYMERIA,,5,24,6,0.258755,0.302882,65.5,8
