Source,Target,Type,Id,Label,timeset,Weight,season
NED,ROBERT,Undirected,0,,,192,1
DAENERYS,JORAH,Undirected,1,,,154,1
JON,SAM,Undirected,2,,,121,1
LITTLEFINGER,NED,Undirected,3,,,107,1
NED,VARYS,Undirected,4,,,96,1
DAENERYS,DROGO,Undirected,5,,,91,1
ARYA,NED,Undirected,6,,,90,1
CATELYN,ROBB,Undirected,7,,,90,1
BRONN,TYRION,Undirected,8,,,86,1
CERSEI,NED,Undirected,9,,,86,1
CERSEI,ROBERT,Undirected,10,,,80,1
LITTLEFINGER,VARYS,Undirected,11,,,73,1
SHAE,TYRION,Undirected,12,,,73,1
CATELYN,NED,Undirected,13,,,69,1
JOFFREY,SANSA,Undirected,14,,,69,1
NED,PYCELLE,Undirected,15,,,68,1
DAENERYS,VISERYS,Undirected,16,,,66,1
SANSA,SEPTA_MORDANE,Undirected,17,,,64,1
TYRION,TYWIN,Undirected,18,,,61,1
JEOR,JON,Undirected,19,,,60,1
ROBB,THEON,Undirected,20,,,60,1
CERSEI,JOFFREY,Undirected,21,,,54,1
ARYA,SANSA,Undirected,22,,,53,1
BRAN,MAESTER_LUWIN,Undirected,23,,,53,1
JAIME,NED,Undirected,24,,,53,1
NED,SANSA,Undirected,25,,,49,1
BRAN,ROBB,Undirected,26,,,48,1
LORAS,RENLY,Undirected,27,,,47,1
CERSEI,JAIME,Undirected,28,,,46,1
DAENERYS,MIRRI_MAZ_DUUR,Undirected,29,,,45,1
JON,TYRION,Undirected,30,,,45,1
ARYA,SYRIO_FOREL,Undirected,31,,,44,1
JORY_CASSEL,NED,Undirected,32,,,44,1
JORAH,VISERYS,Undirected,33,,,43,1
JON,PYP,Undirected,34,,,42,1
CATELYN,TYRION,Undirected,35,,,41,1
ROS,THEON,Undirected,36,,,40,1
JOFFREY,NED,Undirected,37,,,39,1
CERSEI,SANSA,Undirected,38,,,36,1
GRENN,PYP,Undirected,39,,,36,1
CATELYN,WALDER,Undirected,40,,,34,1
DAENERYS,DOREAH,Undirected,41,,,34,1
JAIME,TYRION,Undirected,42,,,34,1
JAIME,TYWIN,Undirected,43,,,34,1
BENJEN,JON,Undirected,44,,,33,1
DAENERYS,IRRI,Undirected,45,,,32,1
GREATJON_UMBER,ROBB,Undirected,46,,,31,1
MORD,TYRION,Undirected,47,,,31,1
CATELYN,LYSA,Undirected,48,,,30,1
DOREAH,VISERYS,Undirected,49,,,30,1
JORAH,RAKHARO,Undirected,50,,,30,1
LYSA,ROBIN,Undirected,51,,,30,1
LYSA,TYRION,Undirected,52,,,30,1
NED,RENLY,Undirected,53,,,30,1
PYP,SAM,Undirected,54,,,30,1
RENLY,ROBERT,Undirected,55,,,30,1
BRAN,NED,Undirected,56,,,29,1
BRAN,OSHA,Undirected,57,,,29,1
JON,NED,Undirected,58,,,29,1
BRAN,CATELYN,Undirected,59,,,28,1
CATELYN,JAIME,Undirected,60,,,28,1
CATELYN,RODRIK,Undirected,61,,,28,1
DAENERYS,QOTHO,Undirected,62,,,28,1
JOFFREY,ROBERT,Undirected,63,,,28,1
JON,MAESTER_AEMON,Undirected,64,,,28,1
DROGO,VISERYS,Undirected,65,,,27,1
JAIME,JORY_CASSEL,Undirected,66,,,27,1
BRAN,THEON,Undirected,67,,,26,1
CATELYN,LITTLEFINGER,Undirected,68,,,26,1
CATELYN,MAESTER_LUWIN,Undirected,69,,,26,1
BARRISTAN,NED,Undirected,70,,,25,1
ILLYRIO,VISERYS,Undirected,71,,,25,1
JON,ROBB,Undirected,72,,,25,1
OSHA,THEON,Undirected,73,,,25,1
ARYA,JOFFREY,Undirected,74,,,24,1
GRENN,JON,Undirected,75,,,24,1
NED,ROBB,Undirected,76,,,23,1
BARRISTAN,ROBERT,Undirected,77,,,22,1
