Source,Target,Type,Id,Label,timeset,Weight,season
DAENERYS,TYRION,Undirected,0,,,179,7
DAENERYS,JON,Undirected,1,,,178,7
CERSEI,JAIME,Undirected,2,,,172,7
ARYA,SANSA,Undirected,3,,,156,7
JON,TYRION,Undirected,4,,,107,7
LITTLEFINGER,SANSA,Undirected,5,,,107,7
DAVOS,JON,Undirected,6,,,92,7
BRONN,JAIME,Undirected,7,,,85,7
JON,SANSA,Undirected,8,,,79,7
MARWYN,SAM,Undirected,9,,,75,7
CERSEI,TYRION,Undirected,10,,,74,7
DAENERYS,VARYS,Undirected,11,,,65,7
BERIC,HOUND,Undirected,12,,,63,7
JON,JORAH,Undirected,13,,,59,7
HOUND,THOROS,Undirected,14,,,57,7
HOUND,TORMUND,Undirected,15,,,57,7
DAVOS,GENDRY,Undirected,16,,,55,7
JON,TORMUND,Undirected,17,,,50,7
DAVOS,TYRION,Undirected,18,,,46,7
TYRION,VARYS,Undirected,19,,,45,7
BRAN,SANSA,Undirected,20,,,44,7
CERSEI,QYBURN,Undirected,21,,,44,7
BERIC,JON,Undirected,22,,,41,7
CERSEI,EURON,Undirected,23,,,38,7
CERSEI,TYCHO,Undirected,24,,,37,7
JAIME,OLENNA,Undirected,25,,,37,7
JON,MISSANDEI,Undirected,26,,,36,7
DAENERYS,MISSANDEI,Undirected,27,,,35,7
JON,THEON,Undirected,28,,,35,7
DAENERYS,JORAH,Undirected,29,,,34,7
JAIME,TYRION,Undirected,30,,,34,7
ARYA,HOT_PIE,Undirected,31,,,33,7
CERSEI,DAENERYS,Undirected,32,,,33,7
CERSEI,MOUNTAIN,Undirected,33,,,33,7
DAENERYS,DAVOS,Undirected,34,,,33,7
JAIME,RANDYLL,Undirected,35,,,33,7
DAVOS,MISSANDEI,Undirected,36,,,31,7
GREY_WORM,MISSANDEI,Undirected,37,,,31,7
MISSANDEI,TYRION,Undirected,38,,,31,7
BERIC,THOROS,Undirected,39,,,30,7
GENDRY,JON,Undirected,40,,,30,7
BRIENNE,SANSA,Undirected,41,,,29,7
BERIC,TORMUND,Undirected,42,,,27,7
HOUND,JON,Undirected,43,,,27,7
JORAH,SAM,Undirected,44,,,27,7
EURON,JAIME,Undirected,45,,,26,7
HOUND,JORAH,Undirected,46,,,26,7
BRIENNE,PODRICK,Undirected,47,,,25,7
DICKON,RANDYLL,Undirected,48,,,25,7
ELLARIA,YARA,Undirected,49,,,25,7
JAIME,QYBURN,Undirected,50,,,25,7
ARYA,LITTLEFINGER,Undirected,51,,,24,7
CERSEI,JON,Undirected,52,,,24,7
DICKON,JAIME,Undirected,53,,,24,7
HARRAG,THEON,Undirected,54,,,24,7
JORAH,TORMUND,Undirected,55,,,24,7
THEON,YARA,Undirected,56,,,24,7
JAIME,MOUNTAIN,Undirected,57,,,23,7
SANSA,YOHN_ROYCE,Undirected,58,,,23,7
ARYA,BRAN,Undirected,59,,,21,7
BRAN,MEERA,Undirected,60,,,21,7
BRAN,SAM,Undirected,61,,,21,7
CERSEI,ELLARIA,Undirected,62,,,21,7
ELLARIA,TYENE,Undirected,63,,,21,7
JON,NED,Undirected,64,,,21,7
MELISANDRE,VARYS,Undirected,65,,,21,7
MISSANDEI,VARYS,Undirected,66,,,21,7
DAENERYS,JAIME,Undirected,67,,,20,7
GILLY,SAM,Undirected,68,,,20,7
JON,LITTLEFINGER,Undirected,69,,,20,7
ARYA,BRIENNE,Undirected,70,,,19,7
BRAN,LITTLEFINGER,Undirected,71,,,19,7
BRONN,TYRION,Undirected,72,,,19,7
EURON,YARA,Undirected,73,,,19,7
JORAH,THOROS,Undirected,74,,,19,7
BERIC,JORAH,Undirected,75,,,18,7
BRIENNE,HOUND,Undirected,76,,,18,7
EURON,THEON,Undirected,77,,,18,7
GENDRY,HOUND,Undirected,78,,,18,7
GREY_WORM,TYRION,Undirected,79,,,18,7
JON,VARYS,Undirected,80,,,18,7
JON,NIGHT_KING,Undirected,81,,,17,7
JORAH,TYRION,Undirected,82,,,17,7
SANSA,MAESTER_WOLKAN,Undirected,83,,,17,7
DAENERYS,OLENNA,Undirected,84,,,16,7
JORAH,MARWYN,Undirected,85,,,16,7
CERSEI,TYENE,Undirected,86,,,15,7
CERSEI,TYWIN,Undirected,87,,,15,7
GENDRY,TORMUND,Undirected,88,,,15,7
BRIENNE,LITTLEFINGER,Undirected,89,,,14,7
DAENERYS,RANDYLL,Undirected,90,,,14,7
DAVOS,JORAH,Undirected,91,,,14,7
GENDRY,THOROS,Undirected,92,,,14,7
GREY_WORM,VARYS,Undirected,93,,,14,7
MOUNTAIN,QYBURN,Undirected,94,,,14,7
NED,SANSA,Undirected,95,,,14,7
DAENERYS,GREY_WORM,Undirected,96,,,13,7
DAENERYS,MELISANDRE,Undirected,97,,,13,7
GENDRY,JORAH,Undirected,98,,,13,7
DAVOS,THEON,Undirected,99,,,12,7
JON,THOROS,Undirected,100,,,12,7
PODRICK,TYRION,Undirected,101,,,12,7
