Id,Label,timeset,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class
MISSANDEI,Missandei,,45,999,3,0.490842,0.531095,1426.111886,0
JOJEN,Jojen,,21,324,4,0.391051,0.428068,83.32188,5
THOROS,Thoros,,14,356,4,0.419187,0.448383,69.849937,2
LOCKE,Locke,,21,183,4,0.411464,0.447347,213.136142,4
KRAZNYS_MO_NAKLOZ,Kraznys,,5,86,4,0.356383,0.376658,0.426547,0
QYBURN,Qyburn,,33,488,4,0.474057,0.509328,1007.263762,4
EDMURE,Edmure,,37,262,4,0.46474,0.505804,1087.015513,5
SHIREEN,Shireen,,13,273,4,0.378888,0.407753,430.598569,1
OLENNA,Olenna,,38,650,4,0.449664,0.495232,1472.40369,4
ORELL,Orell,,11,132,4,0.369825,0.396559,2.887726,1
DAARIO,Daario,,16,518,4,0.392195,0.424337,86.28635,0
TORMUND,Tormund,,60,1241,4,0.499379,0.549544,2241.585909,1
MEERA,Meera,,26,458,4,0.399206,0.440299,155.419674,5
BRYNDEN,Brynden,,18,213,4,0.393732,0.428275,524.391439,5
ANGUY,Anguy,,7,93,4,0.369485,0.392206,0.812568,2
MYRANDA,Myranda,,10,190,4,0.376052,0.402363,25.833463,5
VIOLET,Violet,,3,36,4,0.348656,0.364221,0,5
SELYSE,Selyse,,11,184,4,0.37782,0.404851,11.302735,1
RADZAI_MO_ERAZ,Radzai,,3,24,4,0.353562,0.371476,0,0
TORTURER,Torturer,,1,19,4,0.345658,0.358416,0,5
MERO,Mero,,6,60,4,0.357333,0.379353,0.700469,0
STEELSHANKS_WALTON,Steelshanks Walton,,4,21,4,0.366454,0.385987,0,4
KARL_TANNER,Karl,,12,110,4,0.372913,0.401119,13.347591,1
PRENDAHL,Prendahl,,5,33,4,0.353562,0.373964,0,0
GREY_WORM,Grey Worm,,50,968,3,0.5,0.541459,1237.695313,0
ROSLIN,Roslin,,10,44,4,0.355124,0.378524,15.612682,5
MARTYN,Martyn,,3,19,5,0.330592,0.346973,24.200786,5
OLYVAR,Olyvar,,13,119,4,0.370166,0.398839,23.79828,4
LITTLE_SAM,Little Sam,,19,184,4,0.420502,0.453773,192.001317,1
BLACK_WALDER,Black Walder,,9,89,4,0.376404,0.401741,7.438481,5
FARMER,Farmer,,10,38,4,0.369485,0.395315,0,1
TARYN_MANT,Taryn,,4,18,4,0.381766,0.402985,0,4
LOTHAR,Lothar,,10,79,4,0.376757,0.402985,8.257124,5
WILLEM_LANNISTER,Willem,,2,8,5,0.2843,0.297761,0.460256,5
FREY_SEPTON,Frey Septon,,3,8,5,0.321086,0.335779,0,5
GREIZHEN,Greizhen,,4,11,4,0.353251,0.37272,0,0
MAREI,Marei,,9,43,4,0.377465,0.40257,53.118002,4
SORCERER,Sorcerer,,2,7,4,0.371191,0.389511,0,4
SELWYN,Selwyn,,3,13,4,0.358289,0.375622,0,4
MERRY,Merry,,1,3,5,0.298663,0.310779,0,5
BALERION,Balerion,,3,7,4,0.370166,0.389096,0,4
BERT,Bert,,1,2,5,0.274966,0.285406,0,1
