Source,Target,Type,Id,Label,timeset,Weight
BRAN,HODOR,Undirected,140,,,160
BRONN,SHAE,Undirected,141,,,18
CATELYN,GREATJON_UMBER,Undirected,142,,,11
CATELYN,VARYS,Undirected,143,,,11
GREATJON_UMBER,THEON,Undirected,144,,,11
IRRI,RAKHARO,Undirected,145,,,11
MERYN_TRANT,SYRIO_FOREL,Undirected,146,,,13
NED,TYRION,Undirected,147,,,30
NED,TYWIN,Undirected,148,,,13
PYCELLE,ROBERT,Undirected,149,,,14
RENLY,STANNIS,Undirected,150,,,54
ROBB,RODRIK,Undirected,151,,,16
ROBERT,VARYS,Undirected,152,,,16
ALLISER_THORNE,PYP,Undirected,153,,,18
ARYA,ROBERT,Undirected,154,,,15
CATELYN,ROBIN,Undirected,155,,,10
DAENERYS,ILLYRIO,Undirected,156,,,10
DROGO,MAGO,Undirected,157,,,10
HOUND,NED,Undirected,158,,,14
HOUND,TYRION,Undirected,159,,,50
JAIME,JON,Undirected,160,,,29
JAIME,ROBB,Undirected,161,,,46
JEOR,PYP,Undirected,162,,,10
JOFFREY,MYCAH,Undirected,163,,,10
JORAH,WINE_MERCHANT,Undirected,164,,,10
MERYN_TRANT,SANSA,Undirected,165,,,20
NED,RODRIK,Undirected,166,,,14
NED,STANNIS,Undirected,167,,,21
NED,TOBHO_MOTT,Undirected,168,,,10
PYP,RAST,Undirected,169,,,10
ALLISER_THORNE,JEOR,Undirected,170,,,9
ARYA,CERSEI,Undirected,171,,,34
BRAN,JAIME,Undirected,172,,,33
BRAN,OLD_NAN,Undirected,173,,,11
CERSEI,PYCELLE,Undirected,174,,,95
DROGO,MIRRI_MAZ_DUUR,Undirected,175,,,9
ILLYRIO,VARYS,Undirected,176,,,9
IRRI,JORAH,Undirected,177,,,11
JEOR,MAESTER_AEMON,Undirected,178,,,9
MHAEGEN,NED,Undirected,179,,,9
NED,SEPTA_MORDANE,Undirected,180,,,9
PYCELLE,ROS,Undirected,181,,,9
RENLY,VARYS,Undirected,182,,,9
ROBB,SANSA,Undirected,183,,,28
ROBIN,TYRION,Undirected,184,,,16
RODRIK,TYRION,Undirected,185,,,9
VARDIS_EGEN,TYRION,Undirected,186,,,9
AERYS,NED,Undirected,187,,,12
BAELOR,NED,Undirected,188,,,8
CERSEI,LITTLEFINGER,Undirected,189,,,103
CERSEI,ROBB,Undirected,190,,,14
DAENERYS,MAGO,Undirected,191,,,8
DAREON,PYP,Undirected,192,,,8
HOUND,MERYN_TRANT,Undirected,193,,,17
JORAH,MIRRI_MAZ_DUUR,Undirected,194,,,8
OSHA,ROBB,Undirected,195,,,10
PYCELLE,RENLY,Undirected,196,,,8
ROBERT,TYWIN,Undirected,197,,,15
RODRIK,THEON,Undirected,198,,,31
SANSA,VARYS,Undirected,199,,,39
AERYS,ROBERT,Undirected,200,,,16
ALLISER_THORNE,GRENN,Undirected,201,,,20
ARYA,CATELYN,Undirected,202,,,22
ARYA,GENDRY,Undirected,203,,,200
ARYA,HOUND,Undirected,204,,,314
ARYA,JORY_CASSEL,Undirected,205,,,7
ARYA,STABLE_BOY,Undirected,206,,,7
ARYA,VARYS,Undirected,207,,,14
BRAN,ROBERT,Undirected,208,,,7
BRONN,CATELYN,Undirected,209,,,7
GREATJON_UMBER,RODRIK,Undirected,210,,,7
HUGH_OF_THE_VALE,JORY_CASSEL,Undirected,211,,,7
JON,RAST,Undirected,212,,,7
JON,THEON,Undirected,213,,,48
JON_ARRYN,ROBERT,Undirected,214,,,9
JORY_CASSEL,LITTLEFINGER,Undirected,215,,,7
LYSA,VARDIS_EGEN,Undirected,216,,,7
MAESTER_AEMON,TYRION,Undirected,217,,,7
MAESTER_LUWIN,TYRION,Undirected,218,,,7
ROBERT,TYRION,Undirected,219,,,10
ROBERT,VISERYS,Undirected,220,,,7
ARYA,ROBB,Undirected,221,,,18
BARRISTAN,VARYS,Undirected,222,,,8
BRONN,RODRIK,Undirected,223,,,6
DROGO,ILLYRIO,Undirected,224,,,6
DROGO,QOTHO,Undirected,225,,,6
DROGO,RHAEGO,Undirected,226,,,9
GRENN,RAST,Undirected,227,,,23
GRENN,TYRION,Undirected,228,,,6
HOUND,ROBERT,Undirected,229,,,6
HUGH_OF_THE_VALE,NED,Undirected,230,,,6
JAIME,JOFFREY,Undirected,231,,,47
JEOR,OTHELL_YARWYCK,Undirected,232,,,6
JEOR,OTHOR,Undirected,233,,,6
LITTLEFINGER,MOUNTAIN,Undirected,234,,,6
LITTLEFINGER,TYRION,Undirected,235,,,70
MAESTER_AEMON,PYP,Undirected,236,,,8
MAESTER_AEMON,SAM,Undirected,237,,,61
NED,SYRIO_FOREL,Undirected,238,,,6
NED,TOMARD,Undirected,239,,,6
OTHELL_YARWYCK,SAM,Undirected,240,,,6
PYP,TYRION,Undirected,241,,,6
RAST,SAM,Undirected,242,,,19
SHAGGA,TYWIN,Undirected,243,,,6
ARYA,BAELOR,Undirected,244,,,5
ARYA,BRAN,Undirected,245,,,50
ARYA,HOT_PIE,Undirected,246,,,99
ARYA,LITTLEFINGER,Undirected,247,,,37
ARYA,MERYN_TRANT,Undirected,248,,,25
ARYA,MYCAH,Undirected,249,,,7
BARRISTAN,JOFFREY,Undirected,250,,,7
BENJEN,ROBB,Undirected,251,,,5
BENJEN,YOREN,Undirected,252,,,5
BRAN,RODRIK,Undirected,253,,,25
BRONN,LYSA,Undirected,254,,,5
BRONN,SHAGGA,Undirected,255,,,5
BRONN,TYWIN,Undirected,256,,,12
CATELYN,MORD,Undirected,257,,,5
DAENERYS,ROBERT,Undirected,258,,,13
DOREAH,IRRI,Undirected,259,,,9
DROGO,RAKHARO,Undirected,260,,,5
GARED,ROYCE,Undirected,261,,,5
GENDRY,TOBHO_MOTT,Undirected,262,,,5
HOUND,LITTLEFINGER,Undirected,263,,,5
HOUND,MOUNTAIN,Undirected,264,,,39
JAIME,KEVAN,Undirected,265,,,17
JAIME,LITTLEFINGER,Undirected,266,,,9
JANOS,VARYS,Undirected,267,,,8
JOFFREY,SEPTA_MORDANE,Undirected,268,,,5
JON,OTHELL_YARWYCK,Undirected,269,,,14
JON,OTHOR,Undirected,270,,,5
