Id,Label,timeset,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class
Larraq,Larraq,,1,3,7,0.243827,0.267149,0,4
Missandei,Missandei,,8,83,6,0.271711,0.318829,4.189827,4
Reznak-mo-Reznak,Reznak-mo-Reznak,,5,49,6,0.269855,0.311709,0,4
Skahaz-mo-Kandaq,Skahaz-mo-Kandaq,,12,135,6,0.271478,0.322785,9.581818,4
Steelskin,Steelskin,,3,9,7,0.245723,0.274269,0,4
Varys,Varys,,6,26,6,0.316316,0.355643,423.938789,0
Widower,Widower,,1,3,7,0.243827,0.267149,0,4
Xaro-Xhoan-Daxos,Xaro-Xhoan-Daxos,,2,19,6,0.268479,0.30538,0,4
Barsena,Barsena,,1,4,6,0.267117,0.30116,0,4
Bartimus,Bartimus,,1,4,7,0.240487,0.257075,0,5
Davos-Seaworth,Davos-Seaworth,,13,107,6,0.316316,0.358228,1269.034086,5
Belaquo,Belaquo,,4,18,7,0.217033,0.248523,1.333333,4
Goghor-the-Giant,Goghor-the-Giant,,4,22,7,0.216884,0.247996,0.333333,4
Irri,Irri,,9,85,6,0.270085,0.316456,89.165896,4
Spotted-Cat,Spotted-Cat,,6,26,6,0.269625,0.312236,533.329993,4
Ben-Bones,Ben-Bones,,2,9,7,0.254224,0.280809,0,3
Kasporio,Kasporio,,3,9,6,0.289113,0.311762,0,0
Penny,Penny,,7,92,6,0.310108,0.347468,80.037454,0
Tybero-Istarion,Tybero-Istarion,,3,16,6,0.289113,0.311762,0,0
Benerro,Benerro,,4,18,6,0.309804,0.343776,23.747263,0
Moqorro,Moqorro,,5,39,6,0.311945,0.348259,356.16009,2
Benethon-Scales,Benethon-Scales,,2,7,7,0.247261,0.267887,0,1
Narbert-Grandison,Narbert-Grandison,,6,24,7,0.263993,0.307286,54.753571,1
Benjen-Stark,Benjen-Stark,,1,4,7,0.262241,0.297792,0,1
Black-Balaq,Black-Balaq,,1,3,7,0.199873,0.211551,0,0
Boros-Blount,Boros-Blount,,2,7,6,0.257539,0.272205,0.5,7
Meryn-Trant,Meryn-Trant,,6,18,6,0.287273,0.312816,43.883427,7
Tommen-Baratheon,Tommen-Baratheon,,7,50,5,0.343478,0.371994,555.969654,7
Bowen-Marsh,Bowen-Marsh,,9,102,6,0.327122,0.369304,553.791851,1
Cellador,Cellador,,4,22,7,0.262895,0.302539,0.833333,1
Eddison-Tollett,Eddison-Tollett,,8,59,7,0.264435,0.310451,11.674242,1
Othell-Yarwyck,Othell-Yarwyck,,4,41,7,0.262895,0.302539,0.833333,1
Tormund,Tormund,,8,99,6,0.292322,0.332489,381.556216,1
Wick-Whittlestick,Wick-Whittlestick,,2,10,7,0.262458,0.299375,0,1
Brynden-Rivers,Brynden-Rivers,,2,17,7,0.236173,0.25874,0,6
Coldhands,Coldhands,,3,13,7,0.23635,0.260322,0,6
Hodor,Hodor,,4,86,7,0.236527,0.261905,0.333333,6
Jojen-Reed,Jojen-Reed,,3,49,7,0.23635,0.260322,0,6
Leaf,Leaf,,2,11,7,0.236173,0.25874,0,6
Meera-Reed,Meera-Reed,,6,87,7,0.236882,0.265069,3.833333,6
Rickon-Stark,Rickon-Stark,,3,14,7,0.266442,0.298636,0,6
Robb-Stark,Robb-Stark,,10,51,6,0.338692,0.387764,999.281218,1
Brandon-Norrey,Brandon-Norrey,,2,6,7,0.262677,0.299902,315,1
Torghen-Flint,Torghen-Flint,,1,3,8,0.208169,0.226002,0,1
Brea,Brea,,1,3,8,0.192214,0.204585,0,1
Brienne-of-Tarth,Brienne-of-Tarth,,2,6,6,0.286751,0.307542,0,7
Cersei-Lannister,Cersei-Lannister,,28,147,5,0.398487,0.45327,7747.065493,7
Jaime-Lannister,Jaime-Lannister,,10,53,5,0.311637,0.348734,1625.920142,7
Brus-Buckler,Brus-Buckler,,3,15,7,0.247455,0.26947,0,1
Malegorn,Malegorn,,4,19,7,0.263553,0.304121,21.660714,1
Brynden-Tully,Brynden-Tully,,1,4,6,0.237773,0.252848,0,7
Bump,Bump,,1,5,8,0.203215,0.216139,0,8
Varamyr,Varamyr,,4,23,7,0.254839,0.280967,942,8
Caggo,Caggo,,5,24,7,0.218988,0.251688,315,4
Lucifer-Long,Lucifer-Long,,1,3,8,0.17975,0.196225,0,4
Meris,Meris,,6,43,6,0.270317,0.313291,421.441294,4
Caleotte,Caleotte,,2,7,6,0.249408,0.270886,0,7
Gregor-Clegane,Gregor-Clegane,,8,27,6,0.291782,0.321941,115.134191,7
Camarron,Camarron,,1,3,7,0.212508,0.231751,0,4
Catelyn-Stark,Catelyn-Stark,,1,5,6,0.273593,0.288924,0,1
Dunsen,Dunsen,,5,15,6,0.287012,0.311234,0,7
High-Sparrow,High-Sparrow,,3,22,6,0.287273,0.309124,2.416667,7
Ilyn-Payne,Ilyn-Payne,,5,16,6,0.287012,0.311234,0,7
Joffrey-Baratheon,Joffrey-Baratheon,,3,16,6,0.297272,0.324736,10.713045,0
Kevan-Lannister,Kevan-Lannister,,10,54,6,0.29588,0.330011,838.431582,7
Lancel-Lannister,Lancel-Lannister,,1,6,6,0.285199,0.303323,0,7
Mace-Tyrell,Mace-Tyrell,,6,23,6,0.311945,0.349314,490.470399,7
Margaery-Tyrell,Margaery-Tyrell,,1,6,6,0.285199,0.303323,0,7
Moelle,Moelle,,3,26,6,0.285714,0.306487,0,7
Osney-Kettleblack,Osney-Kettleblack,,1,3,6,0.285199,0.303323,0,7
Qyburn,Qyburn,,2,7,6,0.285714,0.305432,0,7
Rafford,Rafford,,5,15,6,0.287012,0.311234,0,7
Robert-Strong,Robert-Strong,,4,14,6,0.286751,0.309388,44.435848,7
Scolera,Scolera,,3,27,6,0.285714,0.306487,0,7
Unella,Unella,,4,40,6,0.285973,0.30807,1,7
Cleon,Cleon,,2,12,6,0.268479,0.305116,0,4
Kedry,Kedry,,2,6,7,0.217781,0.244568,0,4
Mully,Mully,,5,29,7,0.263114,0.304121,2.5,1
Corliss-Penny,Corliss-Penny,,1,3,6,0.302103,0.324051,0,1
Cotter-Pyke,Cotter-Pyke,,3,18,7,0.263333,0.302539,1.416667,1
Denys-Mallister,Denys-Mallister,,2,8,7,0.262458,0.299375,0,1
Cromm,Cromm,,2,8,7,0.210246,0.222031,0,2
Hero,Hero,,4,24,6,0.267797,0.305907,0,4
Jhiqui,Jhiqui,,7,65,6,0.269625,0.313291,1.402778,4
Daeron-II-Targaryen,Daeron-II-Targaryen,,1,3,6,0.267117,0.30116,0,4
Drogo,Drogo,,2,11,6,0.267343,0.302743,0,4
Eroeh,Eroeh,,1,3,6,0.267117,0.30116,0,4
Ezzara,Ezzara,,1,3,6,0.267117,0.30116,0,4
Ghael,Ghael,,1,5,6,0.267117,0.30116,0,4
Illyrio-Mopatis,Illyrio-Mopatis,,5,57,6,0.311637,0.347468,34.552829,0
Jorah-Mormont,Jorah-Mormont,,4,44,6,0.309198,0.342722,19.650397,0
Lysono-Maar,Lysono-Maar,,1,3,6,0.267117,0.30116,0,4
Marselen,Marselen,,2,7,6,0.267343,0.302743,0,4
Mezzara,Mezzara,,2,7,6,0.26757,0.30327,0,4
Miklaz,Miklaz,,3,10,6,0.268024,0.30538,315,4
Qavo-Nogarys,Qavo-Nogarys,,3,16,6,0.309198,0.341667,20.047263,0
Qezza,Qezza,,5,21,6,0.269625,0.311181,37.145008,4
Quaithe,Quaithe,,1,6,6,0.267117,0.30116,0,4
Symon-Stripeback,Symon-Stripeback,,2,8,6,0.267343,0.302743,0,4
Yurkhaz-zo-Yunzak,Yurkhaz-zo-Yunzak,,1,4,6,0.267117,0.30116,0,4
Dalla,Dalla,,5,22,6,0.309198,0.338713,32.121642,1
Val,Val,,8,94,5,0.359091,0.390717,1260.490309,1
Damon-Dance-for-Me,Damon-Dance-for-Me,,5,26,7,0.255044,0.286083,1.5,3
Grunt,Grunt,,3,13,7,0.254019,0.2816,0,3
Skinner,Skinner,,5,25,7,0.255044,0.286083,315,3
Sour-Alyn,Sour-Alyn,,6,34,7,0.25525,0.287666,3,3
Garth-(Wolfs-Den),Garth-(Wolfs-Den),,2,7,7,0.24067,0.258657,0,5
Godric-Borrell,Godric-Borrell,,1,9,7,0.240487,0.257075,0,5
Leona-Woolfield,Leona-Woolfield,,2,7,7,0.246298,0.268573,0,5
