Source,Target,Type,Id,Label,timeset,Weight,book
Addam-Marbrand,Brynden-Tully,Undirected,0,,,3,4
Addam-Marbrand,Cersei-Lannister,Undirected,1,,,3,4
Addam-Marbrand,Jaime-Lannister,Undirected,2,,,8,4
Addam-Marbrand,Lyle-Crakehall,Undirected,3,,,4,4
Aegon-Targaryen-(son-of-Rhaegar),Rhaegar-Targaryen,Undirected,4,,,3,4
Aegon-V-Targaryen,Aemon-Targaryen-(Maester-Aemon),Undirected,5,,,3,4
Aemon-Targaryen-(Maester-Aemon),Alleras,Undirected,6,,,4,4
Aemon-Targaryen-(Maester-Aemon),Clydas,Undirected,7,,,5,4
Aemon-Targaryen-(Maester-Aemon),Dareon,Undirected,8,,,5,4
Aemon-Targaryen-(Maester-Aemon),Gilly,Undirected,9,,,17,4
Aemon-Targaryen-(Maester-Aemon),Jon-Snow,Undirected,10,,,17,4
Aemon-Targaryen-(Maester-Aemon),Samwell-Tarly,Undirected,11,,,41,4
Aeron-Greyjoy,Asha-Greyjoy,Undirected,12,,,7,4
Aeron-Greyjoy,Baelor-Blacktyde,Undirected,13,,,4,4
Aeron-Greyjoy,Balon-Greyjoy,Undirected,14,,,17,4
Aeron-Greyjoy,Dunstan-Drumm,Undirected,15,,,4,4
Aeron-Greyjoy,Emmond,Undirected,16,,,4,4
Aeron-Greyjoy,Euron-Greyjoy,Undirected,17,,,23,4
Aeron-Greyjoy,Gormond-Goodbrother,Undirected,18,,,6,4
Aeron-Greyjoy,Gorold-Goodbrother,Undirected,19,,,10,4
Aeron-Greyjoy,Greydon-Goodbrother,Undirected,20,,,4,4
Aeron-Greyjoy,Meldred-Merlyn,Undirected,21,,,7,4
Aeron-Greyjoy,Murenmure,Undirected,22,,,11,4
Aeron-Greyjoy,Rus,Undirected,23,,,5,4
Aeron-Greyjoy,Theon-Greyjoy,Undirected,24,,,3,4
Aeron-Greyjoy,Victarion-Greyjoy,Undirected,25,,,17,4
Aerys-II-Targaryen,Barristan-Selmy,Undirected,26,,,4,4
Aerys-II-Targaryen,Cersei-Lannister,Undirected,27,,,3,4
Aerys-II-Targaryen,Denys-Darklyn,Undirected,28,,,4,4
Aerys-II-Targaryen,Elbert-Arryn,Undirected,29,,,3,4
Aerys-II-Targaryen,Jaime-Lannister,Undirected,30,,,6,4
Aerys-II-Targaryen,Owen-Merryweather,Undirected,31,,,3,4
Aerys-II-Targaryen,Rhaegar-Targaryen,Undirected,32,,,5,4
Aerys-II-Targaryen,Robert-Baratheon,Undirected,33,,,3,4
Aerys-II-Targaryen,Tywin-Lannister,Undirected,34,,,10,4
Alla-Tyrell,Elinor-Tyrell,Undirected,35,,,8,4
Alla-Tyrell,Margaery-Tyrell,Undirected,36,,,7,4
Alla-Tyrell,Megga-Tyrell,Undirected,37,,,10,4
Alla-Tyrell,Osney-Kettleblack,Undirected,38,,,3,4
Alleras,Armen,Undirected,39,,,5,4
Alleras,Leo-Tyrell,Undirected,40,,,7,4
Alleras,Marwyn,Undirected,41,,,3,4
Alleras,Mollander,Undirected,42,,,7,4
Alleras,Pate-(novice),Undirected,43,,,8,4
Alleras,Roone,Undirected,44,,,6,4
Alleras,Samwell-Tarly,Undirected,45,,,8,4
Alys-Arryn,Elys-Waynwood,Undirected,46,,,4,4
Alys-Arryn,Jon-Arryn,Undirected,47,,,3,4
