Id,Label,timeset,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class
Addam-Marbrand,Addam-Marbrand,,2,9,5,0.323478,0.347939,0,5
Jaime-Lannister,Jaime-Lannister,,29,241,4,0.461538,0.526882,550.724381,5
Tywin-Lannister,Tywin-Lannister,,22,181,4,0.449275,0.504032,450.607138,5
Aegon-I-Targaryen,Aegon-I-Targaryen,,2,9,5,0.376518,0.403763,0,0
Daenerys-Targaryen,Daenerys-Targaryen,,21,443,5,0.405229,0.466756,1484.278023,0
Eddard-Stark,Eddard-Stark,,66,1284,4,0.563636,0.657706,4638.534951,3
Aemon-Targaryen-(Maester-Aemon),Aemon-Targaryen-(Maester-Aemon),,7,74,5,0.336957,0.37052,186.583333,2
Alliser-Thorne,Alliser-Thorne,,10,80,5,0.363281,0.408154,86.484399,2
Bowen-Marsh,Bowen-Marsh,,5,28,5,0.33574,0.365143,0,2
Chett,Chett,,3,19,5,0.333333,0.358423,0,2
Clydas,Clydas,,1,5,6,0.252374,0.266308,0,2
Jeor-Mormont,Jeor-Mormont,,13,181,5,0.416107,0.461559,487.686409,2
Jon-Snow,Jon-Snow,,37,784,4,0.493369,0.564068,2952.057282,2
Samwell-Tarly,Samwell-Tarly,,12,148,5,0.357692,0.403584,248.605968,2
Aerys-II-Targaryen,Aerys-II-Targaryen,,6,37,5,0.385892,0.419713,8.288294,3
Brandon-Stark,Brandon-Stark,,6,41,5,0.380368,0.413441,35.790906,3
Gerold-Hightower,Gerold-Hightower,,5,17,5,0.380368,0.411649,369,3
Jon-Arryn,Jon-Arryn,,15,169,4,0.437647,0.483423,215.493376,3
Robert-Baratheon,Robert-Baratheon,,50,941,4,0.545455,0.618728,3682.391036,3
Aggo,Aggo,,6,36,6,0.292913,0.325896,1.25,0
Drogo,Drogo,,19,256,5,0.379592,0.436918,1115.094639,0
Jhogo,Jhogo,,6,43,6,0.292913,0.325896,0.75,0
Jorah-Mormont,Jorah-Mormont,,13,154,5,0.374245,0.419892,216.974091,0
Quaro,Quaro,,5,21,6,0.292453,0.323208,0.5,0
Rakharo,Rakharo,,5,24,6,0.292453,0.323208,0.583333,0
Albett,Albett,,3,11,5,0.332143,0.356631,0,2
Halder,Halder,,8,56,5,0.33574,0.370968,3.616667,2
Rast,Rast,,6,26,5,0.334532,0.365591,1.333333,2
Grenn,Grenn,,7,85,5,0.336347,0.369624,3.483333,2
Pypar,Pypar,,7,107,5,0.335135,0.36828,1.283333,2
Tyrion-Lannister,Tyrion-Lannister,,46,650,4,0.510989,0.591846,3272.606016,5
Alyn,Alyn,,5,32,5,0.380368,0.411649,5.412195,3
Harwin,Harwin,,4,18,5,0.364706,0.394982,5.448327,3
Jory-Cassel,Jory-Cassel,,21,152,4,0.43662,0.493728,301.509685,3
Tomard,Tomard,,7,42,5,0.375,0.41138,5.104686,3
Arthur-Dayne,Arthur-Dayne,,1,4,6,0.275964,0.288889,0,3
Arya-Stark,Arya-Stark,,27,430,4,0.458128,0.521505,301.006455,1
Benjen-Stark,Benjen-Stark,,14,104,4,0.432558,0.475806,566.613306,2
Bran-Stark,Bran-Stark,,32,531,4,0.486911,0.550627,960.031914,4
Catelyn-Stark,Catelyn-Stark,,43,520,4,0.505435,0.581989,2604.755647,5
Cersei-Lannister,Cersei-Lannister,,30,424,4,0.484375,0.545251,454.808634,3
Desmond,Desmond,,2,7,5,0.368317,0.394355,0,1
Ilyn-Payne,Ilyn-Payne,,9,43,5,0.386694,0.425538,5.504869,1
Jeyne-Poole,Jeyne-Poole,,6,54,5,0.364706,0.395699,1.05119,1
Joffrey-Baratheon,Joffrey-Baratheon,,30,422,4,0.48062,0.542563,326.023572,1
Meryn-Trant,Meryn-Trant,,9,36,5,0.367589,0.405108,12.016178,1
