Source,Target,Type,Id,Label,timeset,Weight,book
Addam-Marbrand,Jaime-Lannister,Undirected,0,,,3,1
Addam-Marbrand,Tywin-Lannister,Undirected,1,,,6,1
Aegon-I-Targaryen,Daenerys-Targaryen,Undirected,2,,,5,1
Aegon-I-Targaryen,Eddard-Stark,Undirected,3,,,4,1
Aemon-Targaryen-(Maester-Aemon),Alliser-Thorne,Undirected,4,,,4,1
Aemon-Targaryen-(Maester-Aemon),Bowen-Marsh,Undirected,5,,,4,1
Aemon-Targaryen-(Maester-Aemon),Chett,Undirected,6,,,9,1
Aemon-Targaryen-(Maester-Aemon),Clydas,Undirected,7,,,5,1
Aemon-Targaryen-(Maester-Aemon),Jeor-Mormont,Undirected,8,,,13,1
Aemon-Targaryen-(Maester-Aemon),Jon-Snow,Undirected,9,,,34,1
Aemon-Targaryen-(Maester-Aemon),Samwell-Tarly,Undirected,10,,,5,1
Aerys-II-Targaryen,Brandon-Stark,Undirected,11,,,4,1
Aerys-II-Targaryen,Eddard-Stark,Undirected,12,,,10,1
Aerys-II-Targaryen,Gerold-Hightower,Undirected,13,,,3,1
Aerys-II-Targaryen,Jaime-Lannister,Undirected,14,,,5,1
Aerys-II-Targaryen,Jon-Arryn,Undirected,15,,,3,1
Aerys-II-Targaryen,Robert-Baratheon,Undirected,16,,,12,1
Aggo,Daenerys-Targaryen,Undirected,17,,,11,1
Aggo,Drogo,Undirected,18,,,6,1
Aggo,Jhogo,Undirected,19,,,4,1
Aggo,Jorah-Mormont,Undirected,20,,,5,1
Aggo,Quaro,Undirected,21,,,3,1
Aggo,Rakharo,Undirected,22,,,7,1
Albett,Halder,Undirected,23,,,3,1
Albett,Jon-Snow,Undirected,24,,,5,1
Albett,Rast,Undirected,25,,,3,1
Alliser-Thorne,Bowen-Marsh,Undirected,26,,,3,1
Alliser-Thorne,Grenn,Undirected,27,,,3,1
Alliser-Thorne,Halder,Undirected,28,,,4,1
Alliser-Thorne,Jeor-Mormont,Undirected,29,,,10,1
Alliser-Thorne,Jon-Snow,Undirected,30,,,32,1
Alliser-Thorne,Pypar,Undirected,31,,,4,1
Alliser-Thorne,Rast,Undirected,32,,,5,1
Alliser-Thorne,Samwell-Tarly,Undirected,33,,,8,1
Alliser-Thorne,Tyrion-Lannister,Undirected,34,,,7,1
Alyn,Eddard-Stark,Undirected,35,,,11,1
Alyn,Harwin,Undirected,36,,,6,1
Alyn,Jory-Cassel,Undirected,37,,,8,1
Alyn,Robert-Baratheon,Undirected,38,,,4,1
Alyn,Tomard,Undirected,39,,,3,1
Arthur-Dayne,Gerold-Hightower,Undirected,40,,,4,1
Arya-Stark,Benjen-Stark,Undirected,41,,,3,1
Arya-Stark,Bran-Stark,Undirected,42,,,14,1
Arya-Stark,Catelyn-Stark,Undirected,43,,,5,1
Arya-Stark,Cersei-Lannister,Undirected,44,,,12,1
Arya-Stark,Desmond,Undirected,45,,,3,1
Arya-Stark,Eddard-Stark,Undirected,46,,,30,1
Arya-Stark,Ilyn-Payne,Undirected,47,,,5,1
Arya-Stark,Jeyne-Poole,Undirected,48,,,10,1
Arya-Stark,Joffrey-Baratheon,Undirected,49,,,39,1
Arya-Stark,Jon-Snow,Undirected,50,,,37,1
Arya-Stark,Jory-Cassel,Undirected,51,,,12,1
Arya-Stark,Meryn-Trant,Undirected,52,,,4,1
Arya-Stark,Mordane,Undirected,53,,,39,1
Arya-Stark,Mycah,Undirected,54,,,18,1
Arya-Stark,Myrcella-Baratheon,Undirected,55,,,13,1
Arya-Stark,Petyr-Baelish,Undirected,56,,,3,1
Arya-Stark,Rickon-Stark,Undirected,57,,,7,1
Arya-Stark,Robb-Stark,Undirected,58,,,15,1
Arya-Stark,Robert-Baratheon,Undirected,59,,,8,1
Arya-Stark,Rodrik-Cassel,Undirected,60,,,3,1
Arya-Stark,Sandor-Clegane,Undirected,61,,,7,1
Arya-Stark,Sansa-Stark,Undirected,62,,,104,1
Arya-Stark,Syrio-Forel,Undirected,63,,,20,1
Arya-Stark,Tomard,Undirected,64,,,6,1
Arya-Stark,Tommen-Baratheon,Undirected,65,,,5,1
Arya-Stark,Vayon-Poole,Undirected,66,,,4,1
Arya-Stark,Yoren,Undirected,67,,,4,1
Arys-Oakheart,Cersei-Lannister,Undirected,68,,,3,1
Balon-Greyjoy,Eddard-Stark,Undirected,69,,,3,1
Balon-Greyjoy,Robert-Baratheon,Undirected,70,,,4,1
Balon-Swann,Renly-Baratheon,Undirected,71,,,3,1
Balon-Swann,Sandor-Clegane,Undirected,72,,,3,1
Barristan-Selmy,Boros-Blount,Undirected,73,,,3,1
Barristan-Selmy,Cersei-Lannister,Undirected,74,,,12,1
Barristan-Selmy,Eddard-Stark,Undirected,75,,,28,1
Barristan-Selmy,Jaime-Lannister,Undirected,76,,,4,1
Barristan-Selmy,Joffrey-Baratheon,Undirected,77,,,6,1
Barristan-Selmy,Jon-Arryn,Undirected,78,,,4,1
Barristan-Selmy,Meryn-Trant,Undirected,79,,,3,1
Barristan-Selmy,Petyr-Baelish,Undirected,80,,,7,1
Barristan-Selmy,Pycelle,Undirected,81,,,8,1
Barristan-Selmy,Renly-Baratheon,Undirected,82,,,13,1
Barristan-Selmy,Robert-Baratheon,Undirected,83,,,40,1
Barristan-Selmy,Sandor-Clegane,Undirected,84,,,3,1
Barristan-Selmy,Sansa-Stark,Undirected,85,,,3,1
Barristan-Selmy,Varys,Undirected,86,,,9,1
Benjen-Stark,Bran-Stark,Undirected,87,,,6,1
Benjen-Stark,Cersei-Lannister,Undirected,88,,,3,1
Benjen-Stark,Jaremy-Rykker,Undirected,89,,,3,1
Benjen-Stark,Jeor-Mormont,Undirected,90,,,9,1
Benjen-Stark,Jon-Snow,Undirected,91,,,41,1
Benjen-Stark,Luwin,Undirected,92,,,7,1
Benjen-Stark,Mance-Rayder,Undirected,93,,,3,1
Benjen-Stark,Robb-Stark,Undirected,94,,,7,1
Benjen-Stark,Robert-Baratheon,Undirected,95,,,3,1
Benjen-Stark,Theon-Greyjoy,Undirected,96,,,4,1
Benjen-Stark,Tyrion-Lannister,Undirected,97,,,8,1
Benjen-Stark,Waymar-Royce,Undirected,98,,,3,1
Benjen-Stark,Yoren,Undirected,99,,,4,1
Beric-Dondarrion,Eddard-Stark,Undirected,100,,,3,1
Beric-Dondarrion,Gregor-Clegane,Undirected,101,,,6,1
Beric-Dondarrion,Loras-Tyrell,Undirected,102,,,5,1
Beric-Dondarrion,Robert-Baratheon,Undirected,103,,,5,1
Beric-Dondarrion,Sansa-Stark,Undirected,104,,,4,1
Beric-Dondarrion,Thoros-of-Myr,Undirected,105,,,5,1
Boros-Blount,Cersei-Lannister,Undirected,106,,,9,1
Boros-Blount,Joffrey-Baratheon,Undirected,107,,,3,1
Boros-Blount,Meryn-Trant,Undirected,108,,,5,1
Boros-Blount,Sansa-Stark,Undirected,109,,,6,1
Bowen-Marsh,Jeor-Mormont,Undirected,110,,,8,1
Bowen-Marsh,Jon-Snow,Undirected,111,,,10,1
Bowen-Marsh,Samwell-Tarly,Undirected,112,,,3,1
Bran-Stark,Catelyn-Stark,Undirected,113,,,18,1
Bran-Stark,Cersei-Lannister,Undirected,114,,,6,1
Bran-Stark,Eddard-Stark,Undirected,115,,,19,1
Bran-Stark,Hali,Undirected,116,,,3,1
Bran-Stark,Hallis-Mollen,Undirected,117,,,3,1
Bran-Stark,Hodor,Undirected,118,,,29,1
Bran-Stark,Hullen,Undirected,119,,,3,1
Bran-Stark,Jeor-Mormont,Undirected,120,,,4,1
Bran-Stark,Joffrey-Baratheon,Undirected,121,,,3,1
Bran-Stark,Jon-Arryn,Undirected,122,,,7,1
Bran-Stark,Jon-Snow,Undirected,123,,,56,1
Bran-Stark,Jory-Cassel,Undirected,124,,,11,1
Bran-Stark,Joseth,Undirected,125,,,4,1
Bran-Stark,Luwin,Undirected,126,,,65,1
Bran-Stark,Nan,Undirected,127,,,17,1
Bran-Stark,Osha,Undirected,128,,,12,1
Bran-Stark,Petyr-Baelish,Undirected,129,,,3,1
Bran-Stark,Renly-Baratheon,Undirected,130,,,3,1
Bran-Stark,Rickard-Karstark,Undirected,131,,,4,1
Bran-Stark,Rickard-Stark,Undirected,132,,,4,1
Bran-Stark,Rickon-Stark,Undirected,133,,,32,1
Bran-Stark,Robb-Stark,Undirected,134,,,112,1
Bran-Stark,Robert-Baratheon,Undirected,135,,,11,1
Bran-Stark,Rodrik-Cassel,Undirected,136,,,6,1
Bran-Stark,Sansa-Stark,Undirected,137,,,10,1
Bran-Stark,Stiv,Undirected,138,,,4,1
Bran-Stark,Theon-Greyjoy,Undirected,139,,,23,1
Bran-Stark,Tommen-Baratheon,Undirected,140,,,5,1
Bran-Stark,Tyrion-Lannister,Undirected,141,,,31,1
Bran-Stark,Yoren,Undirected,142,,,3,1
Brandon-Stark,Eddard-Stark,Undirected,143,,,11,1
Brandon-Stark,Lyanna-Stark,Undirected,144,,,4,1
Brandon-Stark,Petyr-Baelish,Undirected,145,,,14,1
Brandon-Stark,Rickard-Stark,Undirected,146,,,3,1
Brandon-Stark,Robert-Baratheon,Undirected,147,,,5,1
Bronn,Catelyn-Stark,Undirected,148,,,6,1
Bronn,Chiggen,Undirected,149,,,8,1
Bronn,Marillion,Undirected,150,,,4,1
Bronn,Rodrik-Cassel,Undirected,151,,,4,1
Bronn,Shae,Undirected,152,,,3,1
