Id,Label,timeset,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class
Aegon-I-Targaryen,Aegon-I-Targaryen,,5,17,6,0.326582,0.356525,545.201324,2
Harren-Hoare,Harren-Hoare,,3,16,6,0.30605,0.331977,29.104762,2
Nan,Nan,,5,24,6,0.344,0.378036,217.047679,2
Rhaenys-Targaryen,Rhaenys-Targaryen,,2,7,7,0.246654,0.261277,0,2
Tyrion-Lannister,Tyrion-Lannister,,53,829,5,0.444062,0.531137,5149.448499,0
Visenya-Targaryen,Visenya-Targaryen,,2,6,7,0.246654,0.261277,0,2
Aegon-V-Targaryen,Aegon-V-Targaryen,,1,3,7,0.225131,0.23864,0,1
Aemon-Targaryen-(Maester-Aemon),Aemon-Targaryen-(Maester-Aemon),,6,34,6,0.290214,0.320672,768,1
Daeron-II-Targaryen,Daeron-II-Targaryen,,1,3,7,0.225131,0.23864,0,1
Jeor-Mormont,Jeor-Mormont,,15,163,6,0.314634,0.359819,853.227244,1
Jon-Snow,Jon-Snow,,28,360,5,0.396923,0.458269,5783.201673,1
Maekar-I-Targaryen,Maekar-I-Targaryen,,1,3,7,0.225131,0.23864,0,1
Samwell-Tarly,Samwell-Tarly,,6,93,6,0.290214,0.320672,59.590863,1
Aenys-Frey,Aenys-Frey,,1,6,6,0.303529,0.325517,0,2
Arya-Stark,Arya-Stark,,40,424,5,0.435076,0.507364,6236.466682,2
Aeron-Greyjoy,Aeron-Greyjoy,,2,22,6,0.271293,0.296253,0,4
Dagmer,Dagmer,,5,23,6,0.283516,0.315052,12.113598,4
Theon-Greyjoy,Theon-Greyjoy,,32,294,5,0.371223,0.441925,4787.138781,4
Aerys-I-Targaryen,Aerys-I-Targaryen,,1,3,6,0.310096,0.325969,0,5
Robert-Baratheon,Robert-Baratheon,,26,214,5,0.448696,0.498837,5097.063633,5
Aerys-II-Targaryen,Aerys-II-Targaryen,,5,22,6,0.348649,0.376292,39.785813,5
Eddard-Stark,Eddard-Stark,,22,169,5,0.457447,0.500129,2224.713381,5
Jaime-Lannister,Jaime-Lannister,,21,154,5,0.44714,0.490439,1751.705162,0
Rhaegar-Targaryen,Rhaegar-Targaryen,,4,16,6,0.315403,0.33792,124.239036,5
Aggar,Aggar,,4,13,6,0.262195,0.283269,822.641849,4
Gariss,Gariss,,2,8,7,0.208232,0.220847,257,4
Gelmarr,Gelmarr,,1,3,7,0.207897,0.218263,0,4
Gynir,Gynir,,2,7,7,0.218459,0.237255,9.333333,4
Ramsay-Snow,Ramsay-Snow,,9,48,5,0.350543,0.38637,1212.698564,4
Aggo,Aggo,,5,33,7,0.250242,0.275748,0.666667,3
Belwas,Belwas,,5,20,7,0.263265,0.292285,19.351007,3
Daenerys-Targaryen,Daenerys-Targaryen,,18,136,6,0.324121,0.37022,2747.584569,3
Jhogo,Jhogo,,4,33,7,0.25,0.27381,0,3
Jorah-Mormont,Jorah-Mormont,,10,67,6,0.327411,0.364083,841.387754,3
Rakharo,Rakharo,,3,11,7,0.249758,0.271872,0,3
Alayaya,Alayaya,,2,6,6,0.308612,0.335853,257,0
Dancy,Dancy,,1,3,7,0.236048,0.248745,0,0
Alebelly,Alebelly,,4,19,6,0.294185,0.320155,1.333333,4
Bran-Stark,Bran-Stark,,30,486,5,0.414125,0.479457,3754.078244,4
Hayhead,Hayhead,,2,9,6,0.293515,0.316279,0,4
Jojen-Reed,Jojen-Reed,,7,90,6,0.295195,0.325969,2.333333,4
Mikken,Mikken,,5,25,6,0.302817,0.336628,22.637179,4
Alester-Florent,Alester-Florent,,4,15,6,0.297235,0.32655,0,5
Cortnay-Penrose,Cortnay-Penrose,,7,39,6,0.325758,0.366408,77.356518,5
Davos-Seaworth,Davos-Seaworth,,13,137,6,0.301402,0.34593,552.592857,5
Renly-Baratheon,Renly-Baratheon,,31,357,5,0.409524,0.473579,2376.871522,5
Stannis-Baratheon,Stannis-Baratheon,,37,461,5,0.415459,0.487145,3962.234682,5
Allar-Deem,Allar-Deem,,2,7,6,0.308244,0.335207,0,0
Janos-Slynt,Janos-Slynt,,8,71,6,0.346309,0.38146,25.038798,0
Allard-Seaworth,Allard-Seaworth,,3,13,6,0.295533,0.322028,257,5
Marya-Seaworth,Marya-Seaworth,,1,5,7,0.228319,0.240744,0,5
