Id,Label,timeset,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class
Addam-Marbrand,Addam-Marbrand,,4,18,7,0.317811,0.363623,36.391811,0
Brynden-Tully,Brynden-Tully,,9,59,8,0.288889,0.34287,28.199031,0
Cersei-Lannister,Cersei-Lannister,,60,783,6,0.42,0.525946,10228.026073,7
Jaime-Lannister,Jaime-Lannister,,64,558,7,0.382889,0.515027,9015.376086,0
Lyle-Crakehall,Lyle-Crakehall,,5,27,8,0.278856,0.328441,2.698413,0
Aegon-Targaryen-(son-of-Rhaegar),Aegon-Targaryen-(son-of-Rhaegar),,1,3,8,0.243316,0.264216,0,0
Rhaegar-Targaryen,Rhaegar-Targaryen,,5,26,7,0.321176,0.369606,272,0
Aegon-V-Targaryen,Aegon-V-Targaryen,,1,3,8,0.2153,0.230643,0,1
Aemon-Targaryen-(Maester-Aemon),Aemon-Targaryen-(Maester-Aemon),,7,92,7,0.274096,0.30846,578.042971,1
Alleras,Alleras,,8,48,7,0.23822,0.273827,1237.025871,1
Clydas,Clydas,,2,8,7,0.234536,0.25716,0,1
Dareon,Dareon,,5,47,7,0.260745,0.295404,863.753844,1
Gilly,Gilly,,8,104,7,0.272183,0.30675,384.246103,1
Jon-Snow,Jon-Snow,,11,96,6,0.335381,0.381136,2443.147449,1
Samwell-Tarly,Samwell-Tarly,,20,234,6,0.305369,0.360256,5204.510316,1
Aeron-Greyjoy,Aeron-Greyjoy,,14,122,7,0.229798,0.275754,1858.790476,2
Asha-Greyjoy,Asha-Greyjoy,,8,68,7,0.229219,0.266292,929.635714,2
Baelor-Blacktyde,Baelor-Blacktyde,,4,15,7,0.22769,0.256829,0,2
Balon-Greyjoy,Balon-Greyjoy,,6,69,6,0.286464,0.321306,7076.5,2
Dunstan-Drumm,Dunstan-Drumm,,3,10,8,0.188666,0.21654,2.42619,2
Emmond,Emmond,,1,4,8,0.186986,0.206467,0,2
Euron-Greyjoy,Euron-Greyjoy,,12,136,7,0.229992,0.273618,1377.535714,2
Gormond-Goodbrother,Gormond-Goodbrother,,1,6,8,0.186986,0.206467,0,2
Gorold-Goodbrother,Gorold-Goodbrother,,2,13,8,0.188406,0.214098,0,2
Greydon-Goodbrother,Greydon-Goodbrother,,1,4,8,0.186986,0.206467,0,2
Meldred-Merlyn,Meldred-Merlyn,,2,10,8,0.188406,0.214098,0,2
Murenmure,Murenmure,,2,14,8,0.187114,0.208298,0,2
Rus,Rus,,1,5,8,0.186986,0.206467,0,2
Theon-Greyjoy,Theon-Greyjoy,,3,12,8,0.188017,0.212755,2.342857,2
Victarion-Greyjoy,Victarion-Greyjoy,,17,142,7,0.230574,0.281859,2171.535714,2
Aerys-II-Targaryen,Aerys-II-Targaryen,,9,41,7,0.326165,0.380167,1086.316071,0
Barristan-Selmy,Barristan-Selmy,,1,4,8,0.246168,0.268489,0,0
Denys-Darklyn,Denys-Darklyn,,1,4,8,0.246168,0.268489,0,0
Elbert-Arryn,Elbert-Arryn,,1,3,8,0.246168,0.268489,0,0
Owen-Merryweather,Owen-Merryweather,,1,3,8,0.246168,0.268489,0,0
Robert-Baratheon,Robert-Baratheon,,13,91,6,0.351804,0.404151,534.959259,7
Tywin-Lannister,Tywin-Lannister,,16,94,6,0.388889,0.440781,2938.557199,0
Alla-Tyrell,Alla-Tyrell,,4,28,7,0.271642,0.300436,11.969875,3
Elinor-Tyrell,Elinor-Tyrell,,4,26,8,0.258034,0.292055,2.25,3
Margaery-Tyrell,Margaery-Tyrell,,25,274,7,0.345133,0.422658,1337.118333,7
Megga-Tyrell,Megga-Tyrell,,3,29,8,0.257304,0.289002,0,3
Osney-Kettleblack,Osney-Kettleblack,,11,75,6,0.32852,0.370696,238.104882,7
Armen,Armen,,6,23,8,0.193754,0.219981,5.333333,1
Leo-Tyrell,Leo-Tyrell,,5,24,7,0.237391,0.267722,794.235878,1
Marwyn,Marwyn,,3,12,7,0.236159,0.261922,81.321584,1
Mollander,Mollander,,4,20,8,0.19348,0.216318,1.25,1
Pate-(novice),Pate-(novice),,7,47,8,0.19403,0.222423,1081.25,1
Roone,Roone,,4,20,8,0.192933,0.214181,0.25,1
Alys-Arryn,Alys-Arryn,,2,7,8,0.231749,0.249564,272,4
Elys-Waynwood,Elys-Waynwood,,1,4,9,0.188276,0.19835,0,4
Jon-Arryn,Jon-Arryn,,6,19,7,0.300661,0.336211,575.640846,4
Amerei-Frey,Amerei-Frey,,3,20,8,0.278004,0.324167,0.666667,0
Lancel-Lannister,Lancel-Lannister,,6,75,7,0.318553,0.367286,45.484758,0
Anders-Yronwood,Anders-Yronwood,,1,4,10,0.169671,0.184191,0,5
Quentyn-Martell,Quentyn-Martell,,3,15,9,0.204188,0.231309,276.416667,5
Andrey-Dalt,Andrey-Dalt,,5,37,8,0.250229,0.283752,22.825529,5
Arianne-Martell,Arianne-Martell,,17,150,8,0.255379,0.310614,2132.925523,5
Garin-(orphan),Garin-(orphan),,9,63,8,0.25115,0.291078,163.849809,5
Myrcella-Baratheon,Myrcella-Baratheon,,13,83,7,0.325776,0.38145,3984.994976,5
Sylva-Santagar,Sylva-Santagar,,5,33,8,0.250229,0.283752,22.825529,5
Tyene-Sand,Tyene-Sand,,9,44,8,0.234536,0.271176,289.737734,5
Anya-Waynwood,Anya-Waynwood,,7,44,8,0.252311,0.287781,89.513681,4
Benedar-Belmore,Benedar-Belmore,,5,21,8,0.251845,0.284118,57.760717,4
Gilwood-Hunter,Gilwood-Hunter,,5,22,9,0.22769,0.258487,20.896735,4
Harrold-Hardyng,Harrold-Hardyng,,3,13,9,0.220517,0.249833,2.116667,4
Horton-Redfort,Horton-Redfort,,4,21,9,0.218925,0.245865,0.583333,4
Petyr-Baelish,Petyr-Baelish,,19,151,7,0.333333,0.398238,2562.177134,4
Symond-Templeton,Symond-Templeton,,5,23,8,0.251845,0.284118,21.225308,4
Yohn-Royce,Yohn-Royce,,8,37,8,0.278287,0.323984,346.951884,4
Areo-Hotah,Areo-Hotah,,7,78,8,0.252311,0.290467,67.613385,5
