Source,Target,Type,Id,Label,timeset,Weight,book
Aegon-I-Targaryen,Daenerys-Targaryen,Undirected,0,,,4,5
Aegon-Targaryen-(son-of-Rhaegar),Daenerys-Targaryen,Undirected,1,,,11,5
Aegon-Targaryen-(son-of-Rhaegar),Elia-Martell,Undirected,2,,,4,5
Aegon-Targaryen-(son-of-Rhaegar),Franklyn-Flowers,Undirected,3,,,3,5
Aegon-Targaryen-(son-of-Rhaegar),Haldon,Undirected,4,,,14,5
Aegon-Targaryen-(son-of-Rhaegar),Harry-Strickland,Undirected,5,,,9,5
Aegon-Targaryen-(son-of-Rhaegar),Jon-Connington,Undirected,6,,,16,5
Aegon-Targaryen-(son-of-Rhaegar),Lemore,Undirected,7,,,10,5
Aegon-Targaryen-(son-of-Rhaegar),Rhaegar-Targaryen,Undirected,8,,,9,5
Aegon-Targaryen-(son-of-Rhaegar),Rhaenys-Targaryen-(daughter-of-Rhaegar),Undirected,9,,,4,5
Aegon-Targaryen-(son-of-Rhaegar),Rolly-Duckfield,Undirected,10,,,11,5
Aegon-Targaryen-(son-of-Rhaegar),Tyrion-Lannister,Undirected,11,,,23,5
Aegon-Targaryen-(son-of-Rhaegar),Tywin-Lannister,Undirected,12,,,3,5
Aegon-Targaryen-(son-of-Rhaegar),Viserys-Targaryen,Undirected,13,,,3,5
Aegon-Targaryen-(son-of-Rhaegar),Yandry,Undirected,14,,,6,5
Aegon-Targaryen-(son-of-Rhaegar),Ysilla,Undirected,15,,,4,5
Aemon-Targaryen-(Maester-Aemon),Clydas,Undirected,16,,,7,5
Aemon-Targaryen-(Maester-Aemon),Gilly,Undirected,17,,,3,5
Aemon-Targaryen-(Maester-Aemon),Jon-Snow,Undirected,18,,,12,5
Aemon-Targaryen-(Maester-Aemon),Samwell-Tarly,Undirected,19,,,16,5
Aemon-Targaryen-(Maester-Aemon),Stannis-Baratheon,Undirected,20,,,3,5
Aenys-Frey,Hosteen-Frey,Undirected,21,,,6,5
Aenys-Frey,Theon-Greyjoy,Undirected,22,,,3,5
Aenys-Frey,Wyman-Manderly,Undirected,23,,,4,5
Aeron-Greyjoy,Euron-Greyjoy,Undirected,24,,,4,5
Aeron-Greyjoy,Victarion-Greyjoy,Undirected,25,,,3,5
Aerys-II-Targaryen,Rhaegar-Targaryen,Undirected,26,,,5,5
Aerys-II-Targaryen,Robert-Baratheon,Undirected,27,,,5,5
Aerys-II-Targaryen,Tywin-Lannister,Undirected,28,,,6,5
Aggo,Barristan-Selmy,Undirected,29,,,3,5
Aggo,Daario-Naharis,Undirected,30,,,4,5
Aggo,Daenerys-Targaryen,Undirected,31,,,9,5
Aggo,Grey-Worm,Undirected,32,,,5,5
Aggo,Jhogo,Undirected,33,,,6,5
Aggo,Rakharo,Undirected,34,,,9,5
Alliser-Thorne,Jon-Snow,Undirected,35,,,6,5
Alys-Karstark,Jon-Snow,Undirected,36,,,13,5
Alys-Karstark,Melisandre,Undirected,37,,,6,5
Alys-Karstark,Sigorn,Undirected,38,,,5,5
Alysane-Mormont,Asha-Greyjoy,Undirected,39,,,18,5
Alysane-Mormont,Justin-Massey,Undirected,40,,,5,5
Alysane-Mormont,Stannis-Baratheon,Undirected,41,,,5,5
Archibald-Yronwood,Cletus-Yronwood,Undirected,42,,,5,5
Archibald-Yronwood,Gerris-Drinkwater,Undirected,43,,,13,5
Archibald-Yronwood,Quentyn-Martell,Undirected,44,,,21,5
Archibald-Yronwood,Tattered-Prince,Undirected,45,,,4,5
Areo-Hotah,Arianne-Martell,Undirected,46,,,11,5
Areo-Hotah,Arys-Oakheart,Undirected,47,,,4,5
Areo-Hotah,Balon-Swann,Undirected,48,,,4,5
Areo-Hotah,Doran-Martell,Undirected,49,,,12,5
Areo-Hotah,Ellaria-Sand,Undirected,50,,,3,5
Areo-Hotah,Obara-Sand,Undirected,51,,,6,5
Arianne-Martell,Balon-Swann,Undirected,52,,,5,5
Arianne-Martell,Doran-Martell,Undirected,53,,,11,5
Arianne-Martell,Ellaria-Sand,Undirected,54,,,3,5
Arianne-Martell,Myrcella-Baratheon,Undirected,55,,,4,5
Arianne-Martell,Obara-Sand,Undirected,56,,,5,5
Arnolf-Karstark,Arthor-Karstark,Undirected,57,,,3,5
Arnolf-Karstark,Asha-Greyjoy,Undirected,58,,,3,5
Arnolf-Karstark,Mors-Umber,Undirected,59,,,4,5
Arnolf-Karstark,Rickard-Karstark,Undirected,60,,,3,5
Arnolf-Karstark,Stannis-Baratheon,Undirected,61,,,7,5
Arron,Emrick,Undirected,62,,,6,5
Arron,Hareth-(Moles-Town),Undirected,63,,,4,5
Arron,Satin,Undirected,64,,,4,5
Arya-Stark,Bran-Stark,Undirected,65,,,7,5
Arya-Stark,Brusco,Undirected,66,,,4,5
Arya-Stark,Eddard-Stark,Undirected,67,,,4,5
Arya-Stark,Jeyne-Poole,Undirected,68,,,4,5
Arya-Stark,Jon-Snow,Undirected,69,,,12,5
Arya-Stark,Kindly-Man,Undirected,70,,,4,5
Arya-Stark,Mance-Rayder,Undirected,71,,,3,5
Arya-Stark,Melisandre,Undirected,72,,,4,5
Arya-Stark,Ramsay-Snow,Undirected,73,,,5,5
Arya-Stark,Sansa-Stark,Undirected,74,,,4,5
Arya-Stark,Theon-Greyjoy,Undirected,75,,,7,5
Arya-Stark,Waif,Undirected,76,,,3,5
Arys-Oakheart,Gerold-Dayne,Undirected,77,,,3,5
Asha-Greyjoy,Clayton-Suggs,Undirected,78,,,4,5
Asha-Greyjoy,Euron-Greyjoy,Undirected,79,,,4,5
Asha-Greyjoy,Galbart-Glover,Undirected,80,,,8,5
Asha-Greyjoy,Godry-Farring,Undirected,81,,,3,5
Asha-Greyjoy,Grimtongue,Undirected,82,,,3,5
Asha-Greyjoy,Hagen,Undirected,83,,,3,5
Asha-Greyjoy,Justin-Massey,Undirected,84,,,15,5
Asha-Greyjoy,Qarl-the-Maid,Undirected,85,,,8,5
Asha-Greyjoy,Robert-Baratheon,Undirected,86,,,4,5
Asha-Greyjoy,Rolfe-the-Dwarf,Undirected,87,,,3,5
Asha-Greyjoy,Stannis-Baratheon,Undirected,88,,,16,5
Asha-Greyjoy,Sybelle-Glover,Undirected,89,,,3,5
Asha-Greyjoy,Theon-Greyjoy,Undirected,90,,,7,5
Asha-Greyjoy,Torgon-Greyiron,Undirected,91,,,3,5
Asha-Greyjoy,Tristifer-Botley,Undirected,92,,,12,5
Asha-Greyjoy,Tycho-Nestoris,Undirected,93,,,3,5
Ashara-Dayne,Elia-Martell,Undirected,94,,,3,5
Axell-Florent,Jon-Snow,Undirected,95,,,4,5
Axell-Florent,Melisandre,Undirected,96,,,5,5
Axell-Florent,Selyse-Florent,Undirected,97,,,8,5
Axell-Florent,Shireen-Baratheon,Undirected,98,,,3,5
Axell-Florent,Stannis-Baratheon,Undirected,99,,,3,5
Azor-Ahai,Stannis-Baratheon,Undirected,100,,,3,5
Balon-Greyjoy,Euron-Greyjoy,Undirected,101,,,3,5
Balon-Greyjoy,Theon-Greyjoy,Undirected,102,,,3,5
Balon-Swann,Doran-Martell,Undirected,103,,,11,5
Balon-Swann,Gerold-Dayne,Undirected,104,,,3,5
Balon-Swann,Myrcella-Baratheon,Undirected,105,,,4,5
Balon-Swann,Tyrion-Lannister,Undirected,106,,,3,5
Barbrey-Dustin,Jeyne-Poole,Undirected,107,,,5,5
Barbrey-Dustin,Ramsay-Snow,Undirected,108,,,5,5
Barbrey-Dustin,Roger-Ryswell,Undirected,109,,,4,5
Barbrey-Dustin,Roose-Bolton,Undirected,110,,,3,5
Barbrey-Dustin,Stannis-Baratheon,Undirected,111,,,3,5
Barbrey-Dustin,Theon-Greyjoy,Undirected,112,,,17,5
Barristan-Selmy,Belwas,Undirected,113,,,9,5
Barristan-Selmy,Ben-Plumm,Undirected,114,,,4,5
Barristan-Selmy,Bloodbeard,Undirected,115,,,3,5
Barristan-Selmy,Daario-Naharis,Undirected,116,,,18,5
Barristan-Selmy,Daenerys-Targaryen,Undirected,117,,,75,5
Barristan-Selmy,Galazza-Galare,Undirected,118,,,5,5
Barristan-Selmy,Gerris-Drinkwater,Undirected,119,,,4,5
Barristan-Selmy,Grazhar,Undirected,120,,,3,5
Barristan-Selmy,Grey-Worm,Undirected,121,,,6,5
Barristan-Selmy,Groleo,Undirected,122,,,8,5
Barristan-Selmy,Hizdahr-zo-Loraq,Undirected,123,,,42,5
Barristan-Selmy,Jhogo,Undirected,124,,,3,5
Barristan-Selmy,Khrazz,Undirected,125,,,8,5
Barristan-Selmy,Larraq,Undirected,126,,,3,5
Barristan-Selmy,Missandei,Undirected,127,,,8,5
Barristan-Selmy,Quentyn-Martell,Undirected,128,,,22,5
Barristan-Selmy,Reznak-mo-Reznak,Undirected,129,,,7,5
Barristan-Selmy,Rhaegar-Targaryen,Undirected,130,,,3,5
Barristan-Selmy,Skahaz-mo-Kandaq,Undirected,131,,,21,5
Barristan-Selmy,Steelskin,Undirected,132,,,3,5
Barristan-Selmy,Tyrion-Lannister,Undirected,133,,,3,5
Barristan-Selmy,Varys,Undirected,134,,,3,5
Barristan-Selmy,Widower,Undirected,135,,,3,5
Barristan-Selmy,Xaro-Xhoan-Daxos,Undirected,136,,,3,5
Barsena,Daenerys-Targaryen,Undirected,137,,,4,5
Bartimus,Davos-Seaworth,Undirected,138,,,4,5
Belaquo,Goghor-the-Giant,Undirected,139,,,7,5
Belaquo,Hizdahr-zo-Loraq,Undirected,140,,,3,5
Belaquo,Irri,Undirected,141,,,3,5
Belaquo,Spotted-Cat,Undirected,142,,,5,5
Belwas,Daenerys-Targaryen,Undirected,143,,,13,5
