Id,Label,timeset,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class
Addam-Marbrand,Addam-Marbrand,,8,29,5,0.351163,0.384327,603.26579,1
Gyles-Rosby,Gyles-Rosby,,2,7,6,0.260345,0.275,0,1
Jaime-Lannister,Jaime-Lannister,,45,563,4,0.437048,0.506347,5658.236197,0
Jalabhar-Xho,Jalabhar-Xho,,2,7,6,0.260345,0.275,0,1
Joffrey-Baratheon,Joffrey-Baratheon,,50,598,4,0.474097,0.540011,6449.081988,1
Kevan-Lannister,Kevan-Lannister,,11,71,5,0.349537,0.388135,193.61475,1
Oberyn-Martell,Oberyn-Martell,,16,167,5,0.375155,0.415673,502.957864,1
Tyrion-Lannister,Tyrion-Lannister,,59,782,4,0.457576,0.537804,7003.588496,1
Varys,Varys,,16,99,5,0.376559,0.417439,438.368454,1
Aegon-Frey-(son-of-Stevron),Aegon-Frey-(son-of-Stevron),,4,18,6,0.31134,0.342108,3.460844,2
Catelyn-Stark,Catelyn-Stark,,38,325,5,0.40866,0.481181,3406.028952,2
Robb-Stark,Robb-Stark,,49,486,5,0.440233,0.520254,7377.645034,2
Stevron-Frey,Stevron-Frey,,3,11,6,0.306911,0.334382,0.333333,2
Walder-Frey,Walder-Frey,,12,106,5,0.330416,0.369923,225.600254,2
Aegon-I-Targaryen,Aegon-I-Targaryen,,3,11,6,0.325081,0.347737,341.284084,3
Daenerys-Targaryen,Daenerys-Targaryen,,24,308,6,0.32684,0.378477,6203.646484,5
Stannis-Baratheon,Stannis-Baratheon,,31,299,5,0.438953,0.49277,4954.941125,3
Torrhen-Stark,Torrhen-Stark,,2,6,6,0.310062,0.323841,5.635185,3
Aegon-Targaryen-(son-of-Rhaegar),Aegon-Targaryen-(son-of-Rhaegar),,1,3,6,0.255283,0.268709,0,1
Elia-Martell,Elia-Martell,,7,40,5,0.342404,0.375442,412.118468,1
Aemon-Targaryen-(Dragonknight),Aemon-Targaryen-(Dragonknight),,1,3,5,0.304435,0.325276,0,0
Aemon-Targaryen-(Maester-Aemon),Aemon-Targaryen-(Maester-Aemon),,18,154,6,0.364734,0.409216,919.131681,4
Alliser-Thorne,Alliser-Thorne,,7,55,6,0.336303,0.371689,19.403372,4
Clydas,Clydas,,4,38,6,0.30911,0.340618,7.756536,4
Cotter-Pyke,Cotter-Pyke,,9,50,6,0.335556,0.373344,119.720139,4
Denys-Mallister,Denys-Mallister,,8,51,6,0.290944,0.32202,4.594364,4
Donal-Noye,Donal-Noye,,8,68,6,0.334812,0.370585,59.399815,4
Eddison-Tollett,Eddison-Tollett,,13,68,6,0.294634,0.333885,332.517396,4
Grenn,Grenn,,12,149,6,0.319915,0.361921,128.635666,4
Hobb,Hobb,,7,25,6,0.290944,0.320916,10.107112,4
Janos-Slynt,Janos-Slynt,,11,76,5,0.369645,0.411038,492.38955,4
Jeor-Mormont,Jeor-Mormont,,18,120,5,0.366505,0.416943,2166.573361,4
Jon-Snow,Jon-Snow,,52,756,5,0.433908,0.513687,10173.233957,4
