Source,Target,Type,Id,Label,timeset,Weight,book
Addam-Marbrand,Gyles-Rosby,Undirected,0,,,3,3
Addam-Marbrand,Jaime-Lannister,Undirected,1,,,3,3
Addam-Marbrand,Jalabhar-Xho,Undirected,2,,,3,3
Addam-Marbrand,Joffrey-Baratheon,Undirected,3,,,3,3
Addam-Marbrand,Kevan-Lannister,Undirected,4,,,3,3
Addam-Marbrand,Oberyn-Martell,Undirected,5,,,3,3
Addam-Marbrand,Tyrion-Lannister,Undirected,6,,,7,3
Addam-Marbrand,Varys,Undirected,7,,,4,3
Aegon-Frey-(son-of-Stevron),Catelyn-Stark,Undirected,8,,,4,3
Aegon-Frey-(son-of-Stevron),Robb-Stark,Undirected,9,,,5,3
Aegon-Frey-(son-of-Stevron),Stevron-Frey,Undirected,10,,,3,3
Aegon-Frey-(son-of-Stevron),Walder-Frey,Undirected,11,,,6,3
Aegon-I-Targaryen,Daenerys-Targaryen,Undirected,12,,,4,3
Aegon-I-Targaryen,Stannis-Baratheon,Undirected,13,,,4,3
Aegon-I-Targaryen,Torrhen-Stark,Undirected,14,,,3,3
Aegon-Targaryen-(son-of-Rhaegar),Elia-Martell,Undirected,15,,,3,3
Aemon-Targaryen-(Dragonknight),Jaime-Lannister,Undirected,16,,,3,3
Aemon-Targaryen-(Maester-Aemon),Alliser-Thorne,Undirected,17,,,3,3
Aemon-Targaryen-(Maester-Aemon),Clydas,Undirected,18,,,16,3
Aemon-Targaryen-(Maester-Aemon),Cotter-Pyke,Undirected,19,,,3,3
Aemon-Targaryen-(Maester-Aemon),Denys-Mallister,Undirected,20,,,4,3
Aemon-Targaryen-(Maester-Aemon),Donal-Noye,Undirected,21,,,11,3
Aemon-Targaryen-(Maester-Aemon),Eddison-Tollett,Undirected,22,,,3,3
Aemon-Targaryen-(Maester-Aemon),Grenn,Undirected,23,,,5,3
Aemon-Targaryen-(Maester-Aemon),Hobb,Undirected,24,,,3,3
Aemon-Targaryen-(Maester-Aemon),Janos-Slynt,Undirected,25,,,5,3
Aemon-Targaryen-(Maester-Aemon),Jeor-Mormont,Undirected,26,,,3,3
Aemon-Targaryen-(Maester-Aemon),Jon-Snow,Undirected,27,,,36,3
Aemon-Targaryen-(Maester-Aemon),Mance-Rayder,Undirected,28,,,5,3
Aemon-Targaryen-(Maester-Aemon),Owen,Undirected,29,,,3,3
Aemon-Targaryen-(Maester-Aemon),Pypar,Undirected,30,,,5,3
Aemon-Targaryen-(Maester-Aemon),Robert-Baratheon,Undirected,31,,,5,3
Aemon-Targaryen-(Maester-Aemon),Samwell-Tarly,Undirected,32,,,32,3
Aemon-Targaryen-(Maester-Aemon),Stannis-Baratheon,Undirected,33,,,9,3
Aemon-Targaryen-(Maester-Aemon),Wynton-Stout,Undirected,34,,,3,3
Aerys-II-Targaryen,Arthur-Dayne,Undirected,35,,,5,3
